 X		Y		Z		Time[us]
1105		-56		-80		3.15508e-309
1132		-17		17019		0.0033773
799		-67		-101		0.00677061
1066		-13		-96		0.0103829
-104		-1434		-77		0.0135432
576		-62		16463		0.0167065
-117		-24		-38		0.0201578
547		-1194		-113		0.0233951
-45		-1263		-124		0.0266154
-65		-78		16459		0.0325859
1055		-28		-35		0.0357472
-30		-1276		16947		0.0389325
-68		-1484		15985		0.0421498
-120		-123		-128		0.0453311
-40		-1181		16210		0.0485234
-117		-120		-128		0.0518387
589		-1451		-83		0.055164
573		-99		16659		0.0613965
-105		-1155		-22		0.0646238
-86		-1276		17240		0.0680231
-102		-1176		16906		0.0713784
1146		-1495		16936		0.0746007
-99		-26		16975		0.077923
-7		-35		-37		0.0811693
1094		-1181		16137		0.0844836
866		-1487		-90		0.0880409
578		-38		16465		0.100361
-27		-27		-124		0.103887
1060		-19		17223		0.10709
892		-104		16439		0.110342
835		-48		-95		0.113411
-81		-1685		15724		0.11664
542		-1155		-86		0.119851
-16		-1196		-115		0.123073
-73		-5		-17		0.130709
1034		-929		17000		0.133984
-10		-904		16482		0.137223
1374		-9		16918		0.140478
-102		-103		15676		0.143758
1099		-62		-121		0.14698
1076		-92		-81		0.150367
876		-1412		-116		0.153695
1095		-1270		-97		0.156943
-91		-1223		-49		0.160144
-11		-1181		15915		0.163364
-100		-1475		-52		0.166688
540		-4		16940		0.169923
-42		-65		17223		0.1732
1076		-1248		-73		0.176512
-47		-7		17179		0.179816
1375		-51		16671		0.183387
892		-1738		-11		0.186667
593		-1256		-37		0.210543
-110		-43		17420		0.213805
1101		-1213		16144		0.217033
-102		-1496		17164		0.220325
1151		-1418		15663		0.223603
554		-1211		16680		0.22685
-11		-123		15707		0.230124
-72		-1216		-107		0.233683
517		-1519		16677		0.236906
-66		-1223		15697		0.240192
-38		-1256		-6		0.243512
-69		-15		16172		0.246726
-15		-117		16416		0.249978
-109		-78		-102		0.268765
-122		-99		16902		0.272075
-100		-1238		-32		0.27549
778		-996		16431		0.278932
-97		-1445		-116		0.282182
789		-7		16977		0.285427
832		-113		16913		0.288619
870		-1217		16461		0.292042
1116		-1272		-59		0.295315
-126		-103		16202		0.298617
845		-104		16460		0.30209
-122		-1184		-111		0.305323
546		-108		16189		0.308517
571		-985		16228		0.3117
568		-1220		17216		0.315077
-18		-47		-46		0.318247
-47		-1265		16407		0.321679
814		-1173		16445		0.324894
-68		-1428		16703		0.329401
-11		-1153		16458		0.332738
604		-12		15883		0.350183
302		-82		16447		0.353491
-29		-4		16699		0.356745
-12		-1199		16223		0.360044
-8		-1416		17414		0.363306
-112		-1267		16239		0.366589
769		-1201		-7		0.369804
882		-96		16411		0.37308
624		-1223		-35		0.376352
-99		-127		-5		0.379867
-3		-1164		-74		0.383094
550		-1256		-81		0.386521
-124		-1253		15717		0.389705
-102		-1247		-107		0.393016
-31		-76		-111		0.396224
1098		-119		-11		0.399455
519		-100		16219		0.419803
-94		-1468		16442		0.423191
602		-1455		-76		0.426509
563		-15		-111		0.429962
-38		-12		16220		0.433179
-72		-104		-11		0.436455
1290		-1272		16644		0.439587
1078		-103		16445		0.442973
848		-1196		15908		0.446246
844		-1444		-49		0.449606
790		-28		17007		0.452879
-106		-1267		-80		0.45607
-88		-988		-67		0.459363
1098		-1470		15979		0.46858
-49		-53		-108		0.481034
1071		-1409		-126		0.484356
270		-1483		16664		0.487608
-83		-1238		-124		0.490939
-100		-104		16711		0.494148
551		-979		16675		0.497333
-9		-1220		16149		0.500609
1110		-1479		16386		0.503829
1083		-120		-105		0.507337
-74		-1495		16387		0.510649
1052		-1493		16763		0.513948
1052		-1468		-15		0.517393
-69		-25		-60		0.520653
551		-57		-92		0.538904
-1		-1264		-85		0.542171
-32		-90		16472		0.545534
-104		-1445		-34		0.548814
-49		-1439		-112		0.552028
803		-114		15988		0.555339
607		-82		-111		0.558496
842		-31		16756		0.56165
-12		-1432		16416		0.564904
-81		-1260		16980		0.568367
345		-1431		16482		0.571652
607		-1173		17766		0.57492
-83		-1171		-51		0.578337
-51		-120		16906		0.581583
-70		-17		16436		0.599696
-9		-1219		-112		0.60301
602		-43		16402		0.606273
-96		-36		-95		0.609615
800		-91		17504		0.61284
-73		-42		-60		0.616178
-54		-110		-19		0.619417
1132		-16		15431		0.622612
1039		-1196		-14		0.62585
612		-1204		16216		0.629452
-99		-1205		-91		0.632802
275		-12		16386		0.636308
-93		-124		15740		0.639563
616		-1217		-14		0.642797
779		-85		16943		0.64998
-126		-1244		16445		0.653213
812		-1473		-86		0.656507
-7		-44		-75		0.660016
-74		-54		-99		0.663249
818		-95		-45		0.666549
855		-107		-77		0.669859
-36		-1157		-125		0.673073
-8		-1273		16442		0.676347
568		-59		16685		0.679724
558		-46		-6		0.683074
886		-90		17261		0.686277
-61		-1205		-7		0.689501
-86		-69		-73		0.692627
-17		-81		16159		0.695981
602		-10		-62		0.699323
-12		-1500		17233		0.702589
-1		-1185		-38		0.706009
890		-85		16201		0.709274
631		-1436		-1		0.712495
-112		-1428		-44		0.727747
800		-1270		15639		0.740117
-61		-1483		-61		0.743312
-124		-1249		15153		0.746639
580		-1209		-108		0.749999
-66		-1232		-17		0.753351
847		-1193		15980		0.756785
-35		-72		-101		0.75995
-100		-1268		-30		0.763179
-101		-80		-21		0.766252
-65		-51		16939		0.769543
789		-112		-95		0.772771
858		-1435		16235		0.775984
792		-1265		-29		0.798027
-22		-79		16447		0.801281
-16		-1486		-64		0.804698
-121		-96		16764		0.807848
579		-41		-58		0.811108
1060		-1434		16175		0.814357
-85		-1229		-57		0.817742
-10		-1209		16940		0.82104
-18		-35		16703		0.824549
-62		-1189		-65		0.827753
-8		-86		-56		0.830998
-29		-72		16148		0.838231
-122		-1412		16416		0.841521
824		-51		15883		0.844822
-58		-1211		15885		0.84807
-52		-78		16655		0.851452
603		-1431		-128		0.854628
1026		-1163		16479		0.858059
880		-1416		16659		0.861272
568		-1431		-56		0.864478
-128		-1498		16947		0.867967
856		-9		17269		0.871319
-102		-1428		15661		0.874474
887		-44		15690		0.877617
-102		-1223		16496		0.880858
-46		-91		-99		0.884132
576		-80		16478		0.887511
-88		-49		-31		0.89087
-36		-8		16423		0.894298
527		-91		-32		0.897505
-77		-128		15920		0.907053
-22		-8		16161		0.918616
-41		-61		15471		0.921897
543		-12		15403		0.925152
582		-61		16697		0.928403
1104		-1161		-103		0.931857
-72		-125		-90		0.935174
358		-72		16223		0.938339
-29		-1223		-18		0.941494
-20		-1449		-35		0.944818
1320		-1532		16248		0.948275
-52		-31		16146		0.951623
-36		-68		-19		0.955137
-37		-1458		-128		0.958227
1052		-16		15879		0.961583
582		-57		-5		0.964799
-56		-1264		-13		0.968041
335		-14		-99		0.971297
-108		-16		-76		0.979757
-96		-123		-40		0.983066
-73		-1157		-13		0.986262
822		-124		-7		0.98963
-77		-42		-20		0.992975
-48		-29		-115		0.996192
-99		-1209		-84		0.999452
887		-1240		15621		1.00271
599		-1156		-19		1.00592
1029		-68		16448		1.00915
1092		-1518		16668		1.01235
-81		-1258		-57		1.01549
-35		-121		-123		1.01875
1068		-21		-110		1.02197
887		-33		17013		1.02537
789		-29		15964		1.02878
1025		-89		-112		1.03205
-69		-71		16731		1.03527
-51		-28		16704		1.03834
786		-1205		15888		1.04164
563		-70		-77		1.04486
559		-1451		-57		1.04813
1071		-122		17277		1.05668
