 X		Y		Z		Time[us]
-26		7194		-59		-3.73619e-44
-14		7287		-20		0.00691013
-6572		7229		-30		0.0137293
-6557		7441		-5778		0.0201934
-6563		7276		-27		0.0295716
-15		7274		-17		0.0359037
-17		7286		-38		0.0425438
-8		7189		-24		0.0489849
-23		7278		-36		0.055176
-21		-127		-41		0.0631312
-25		-2		-75		0.0696053
-57		7432		-6047		0.0796115
-32		-23		-5812		0.0860266
-6581		-3		-5808		0.0924087
-6572		-26		-33		0.0989189
-33		-1		-6044		0.105452
-6619		7430		-5817		0.120553
-6593		7442		-46		0.126742
-6579		7291		-55		0.133083
-56		7275		-51		0.160635
-53		7294		-52		0.166998
-38		7245		-47		0.173504
-6596		7488		-31		0.180043
-6565		7458		-6084		0.186322
-6548		-109		-5825		0.192548
-6553		7280		-5836		0.198805
-6572		7237		-93		0.20528
-66		7500		-78		0.21179
-45		7456		-6081		0.218114
-54		7460		-6092		0.22455
-6605		7424		-5816		0.231175
-6589		7435		-5835		0.237661
-6593		7451		-5824		0.244343
-6583		7277		-40		0.251099
-42		-115		-59		0.257415
-27		-110		-41		0.263569
-6569		7225		-37		0.270151
-6579		7473		-6083		0.276471
-6577		7540		-6074		0.282857
-6554		7273		-5837		0.289358
-6560		7285		-63		0.295712
-6553		7196		-72		0.302253
-6530		7183		-50		0.308774
-29		-13		-6071		0.315393
-6574		7171		-5806		0.321476
-6566		7442		-5831		0.327798
-6576		-116		-31		0.334207
-41		-111		-33		0.340604
-6399		-127		-14		0.346915
-6564		7228		-49		0.353296
-6562		7482		-36		0.359585
-6546		7458		-6060		0.366013
-6548		-117		-6069		0.372546
-6556		7285		-5829		0.379262
-119		7180		-49		0.385503
-25		-22		-75		0.391666
-50		7426		-6072		0.398082
-38		-18		-6061		0.404492
-6574		-20		-5807		0.411076
-6585		7457		-37		0.417537
-19		7257		-50		0.423805
-26		-115		-33		0.43012
-16		-128		-24		0.436665
-6537		7186		-35		0.443234
-6575		7545		-52		0.465601
-34		-107		-23		0.472027
-11		7217		-25		0.478403
-6285		7441		-20		0.484597
-6563		7433		-34		0.491065
-6560		7481		-46		0.497527
-60		7241		-47		0.505954
-6556		7442		-44		0.51208
-6563		7482		-6077		0.518492
-6561		7544		-5832		0.524968
-6543		7276		-72		0.531344
-6532		7182		-65		0.537646
-34		-5		-92		0.543939
-43		-3		-63		0.55029
-44		-5		-6070		0.557213
-5		7262		-12		0.563918
-123		7193		-37		0.588774
-6549		7490		-11		0.595159
-119		7508		-6043		0.601395
-6530		7537		-5790		0.6079
-6537		7545		-6076		0.614464
-6568		7537		-5807		0.635828
-121		7262		-5797		0.642283
-6549		7176		-51		0.648739
-41		-5		-60		0.655206
-39		7438		-63		0.661685
-38		-7		-6053		0.66819
-6579		-13		-5802		0.674723
-6601		7461		-45		0.680821
-59		7279		-53		0.68719
-25		7254		-36		0.693521
-26		7271		-43		0.700314
-2		7185		-35		0.706705
-6544		7477		-29		0.713071
-128		7448		-6070		0.719548
-6550		7534		-5817		0.725892
-6554		7292		-5830		0.732316
-6555		-118		-69		0.739062
-12		7198		-83		0.745467
-27		-10		-6061		0.751516
-42		7443		-6067		0.757884
-6571		7452		-5804		0.764574
-6579		7427		-29		0.77087
-6569		7259		-27		0.777225
-27		-116		-44		0.783619
-31		7294		-34		0.789985
-6316		7170		-5886		0.79652
-6539		7453		-42		0.802985
-6548		7515		-5830		0.809422
-6548		7257		-5820		0.815484
-6545		-11		-62		0.821711
-31		7424		-65		0.828156
-28		7439		-6055		0.834592
-6593		-13		-5805		0.840824
-6568		-41		-5787		0.847281
-6564		7273		-42		0.853547
-19		7284		-48		0.859915
-37		7282		-11		0.86641
-23		7173		-13		0.873234
-6541		7461		-35		0.879364
-6601		-93		-6078		0.885513
-6567		-98		-5840		0.891894
-6567		-116		-5818		0.898354
-6566		7231		-90		0.904759
-45		7455		-77		0.911149
-13		-13		-6069		0.917372
-6581		7427		-5822		0.92377
-6589		-5		-5821		0.930292
-6549		7527		-5794		0.936716
-6545		7273		-5794		0.946942
-6529		7173		-65		0.953277
-11		-17		-78		0.959635
-20		7429		-6068		0.96605
-6581		-2		-5809		0.972418
-6583		7448		-29		0.978724
-6589		7292		-44		0.985074
-11		7269		-8		0.991545
-38		-117		-35		0.998231
-6564		-5		-5793		1.01413
-6588		-27		-32		1.02024
-10		7279		-37		1.02658
-19		7252		-24		1.033
-21		7199		-38		1.03933
-6533		7436		-32		1.04558
-6546		7217		-34		1.05215
-121		7435		-26		1.05911
-9		7427		-41		1.084
-18		-38		-6044		1.09063
-6282		-26		-5796		1.09701
-6538		-38		-5790		1.10344
-6555		-21		-6070		1.11011
-6547		7279		-5819		1.13443
-6539		-126		-65		1.14084
-33		-17		-52		1.14716
-1		-9		-68		1.15353
-20		-7		-6064		1.16004
-31		-23		-5807		1.16666
-6585		-7		-5814		1.1728
-6587		7431		-42		1.17929
-7		-123		-28		1.18578
-56		-106		-63		1.19215
-51		7213		-50		1.19861
-6563		7495		-34		1.20507
-6541		7448		-6083		1.21139
-6570		-126		-6088		1.21787
-6570		7540		-5827		1.2245
-6575		-103		-5846		1.23107
-56		7204		-96		1.23721
-58		7446		-81		1.24359
-38		7436		-6071		1.24999
-6608		7459		-5830		1.25621
-6628		-12		-49		1.26253
-6593		-109		-50		1.26891
-44		-98		-58		1.27555
-53		7270		-28		1.28202
-57		7230		-34		1.28855
-6575		7472		-59		1.29484
-6566		-122		-5834		1.30096
-6591		7284		-5855		1.30734
-6608		-77		-92		1.31383
-6559		7194		-78		1.32023
-57		7472		-77		1.32668
-82		7450		-6101		1.33302
-6585		7433		-5833		1.33926
-6580		-28		-5811		1.34579
-6595		-124		-83		1.35237
-42		7438		-62		1.37503
-59		7178		-5814		1.38143
-6596		-6		-5814		1.38765
-6590		-4		-51		1.39392
-38		7545		-43		1.40038
-6655		7169		-56		1.40688
-33		-17		-45		1.41664
-11		7432		-6061		1.42297
-6562		-10		-5800		1.42929
-6559		7255		-29		1.43558
-6652		7295		-29		1.44187
-21		-113		-36		1.44819
-7		7181		-27		1.45469
-6552		7440		-6		1.46118
-6539		7458		-6060		1.46752
-126		7246		-5823		1.47376
-6558		7245		-69		1.47992
-20		-30		-57		1.4863
-34		7448		-33		1.49264
-36		-31		-5781		1.49905
-6582		7433		-5800		1.50533
-6556		-123		-43		1.51158
-19		-104		-26		1.51789
-25		-121		-42		1.52454
-59		7239		-37		1.53109
-6564		7214		-44		1.53739
-6587		-124		-51		1.55312
-47		-120		-54		1.55935
-8		7279		-14		1.56604
-66		7213		-37		1.57238
-6558		7494		-55		1.57887
-6559		7239		-6054		1.58513
-6554		7290		-5806		1.59147
-6541		7263		-5841		1.59796
-123		7168		-27		1.60441
-30		-126		-30		1.61077
-6556		7206		-18		1.63445
-6573		7440		-6055		1.64101
-6552		7528		-6073		1.64726
-6559		-118		-5819		1.65393
-114		-126		-5820		1.66044
-6570		7473		-6080		1.67292
-6568		-97		-6094		1.68881
-6581		-92		-5834		1.69526
-6565		-121		-60		1.70163
-6533		-118		-69		1.70817
-66		7174		-73		1.7149
-60		-8		-6054		1.72121
