 X		Y		Z		Time[us]
-6656		-80		-106		-4.77488e-44
-95		-45		-118		0.00625999
-94		7253		-95		0.012609
-84		-113		-104		0.018825
-6610		7458		-5863		0.025583
-6628		-3		-87		0.034917
-6610		7487		-53		0.05309
-6611		-128		-55		0.059547
-14		-29		-103		0.066346
-3		7494		-5883		0.0751029
-118		7544		-5881		0.0827679
-23		7532		-5871		0.0973349
-6641		-79		-5866		0.103689
-6649		7435		-5887		0.113754
-6614		-82		-125		0.120162
-85		7461		-127		0.126542
-104		7522		-6144		0.132804
-53		7459		-5884		0.139262
-4		7465		-5868		0.1456
-6650		7537		-92		0.152086
-6655		-77		-73		0.158406
-45		-74		-71		0.164891
-91		-73		-95		0.171472
-6632		7261		-92		0.177834
-6599		7547		-6144		0.183915
-6609		-44		-6116		0.190299
-6568		-118		-5870		0.196723
-6621		-82		-5766		0.203117
-6599		7172		-124		0.209457
-83		7515		-6032		0.215935
-120		7467		-6126		0.222395
-81		7501		-6142		0.228757
-6633		7453		-5881		0.235291
-6619		7504		-5855		0.241841
-6654		-36		-79		0.248204
-85		-80		-6017		0.254521
-111		-62		-108		0.260854
-6608		7236		-80		0.267215
-6611		7540		-95		0.27364
-6604		7520		-6111		0.280099
-6595		-14		-5869		0.286545
-6635		-102		-5886		0.292951
-6596		-47		-114		0.299324
-103		7232		-127		0.305842
-86		7509		-3		0.312182
-6640		7240		-121		0.318496
-107		-120		-6031		0.326243
-100		-73		-93		0.351211
-125		-31		-92		0.357856
-55		-101		-82		0.364162
-6635		7287		-70		0.370585
-6623		-106		-83		0.376998
-6602		7528		-6117		0.383315
-69		7242		-97		0.391604
-6598		7474		-92		0.397885
-6635		7546		-6144		0.404476
-6638		-53		-6118		0.41094
-6625		-69		-5847		0.417273
-6612		-77		-112		0.423571
-86		7242		-119		0.429863
-68		7443		-118		0.436317
-84		-126		-113		0.442855
-6586		7544		-87		0.449564
-6608		7517		-77		0.473563
-6592		7540		-92		0.480112
-6611		-77		-2		0.48676
-6604		-73		-1		0.493218
-6626		-82		-5887		0.499874
-76		-85		-77		0.506228
-102		7261		-103		0.51568
-6653		7544		-94		0.521963
-6629		-118		-1		0.528452
-6635		7536		-6130		0.534919
-6606		-122		-5887		0.541444
-6589		-104		-85		0.547779
-6601		7234		-6018		0.554099
-121		7259		-6019		0.560739
-81		-41		-102		0.567369
-89		-41		-124		0.592377
-6534		7451		-121		0.598923
-6651		7272		-105		0.605145
-6609		7538		-115		0.611647
-6639		7531		-109		0.618099
-25		7457		-5875		0.624633
-6643		-66		-94		0.634438
-87		-32		-109		0.640764
-90		-115		-116		0.647251
-93		-24		-89		0.653939
-66		7271		-98		0.660496
-6614		7488		-72		0.666787
-6650		-68		-2		0.673184
-6610		-53		-6136		0.679676
-6617		-65		-123		0.68641
-89		7496		-6029		0.712175
-73		7509		-6		0.718733
-110		7533		-6136		0.725334
-6		7480		-5882		0.73201
-6634		7465		-5870		0.738335
-6617		7445		-118		0.761559
-6597		7223		-122		0.768125
-6539		7486		-114		0.774536
-90		7470		-123		0.780965
-99		-116		-5		0.787362
-94		7480		-5876		0.794174
-6623		7497		-5883		0.80037
-6645		-100		-97		0.806676
-74		-46		-105		0.813138
-115		-8		-95		0.8196
-77		7256		-99		0.826017
-6655		7506		-96		0.83234
-6622		-63		-35		0.838785
-6622		-41		-6129		0.845196
-6621		-61		-14		0.851701
-6629		-94		-5887		0.858268
-6633		7253		-120		0.864622
-6538		-95		-94		0.8707
-112		7537		-13		0.877059
-6553		-110		-4		0.883735
-6648		7498		-3		0.890216
-26		7549		-118		0.89661
-104		-16		-126		0.902882
-107		-83		-6031		0.909332
-106		-37		-124		0.915836
-6532		-35		-6017		0.922284
-20		-90		-118		0.928829
-109		-12		-125		0.951073
-64		-39		-109		0.957522
-112		-95		-109		0.963982
-6620		7287		-94		0.970266
-6649		-71		-96		0.97683
-6624		7537		-6139		0.983351
-16		7534		-6022		0.989937
-11		7434		-118		1.01329
-118		-89		-107		1.01988
-103		-47		-101		1.02623
-6540		-115		-94		1.0327
-6615		-105		-104		1.03919
-6629		7534		-85		1.04592
-6632		-15		-7		1.05227
-6891		7447		-5877		1.05833
-6632		-53		-5765		1.06476
-6820		-104		-6039		1.07113
-6552		-97		-6050		1.07753
-6538		7526		-9		1.08397
-6556		7514		-5		1.09059
-19		7542		-3		1.09721
-26		-76		-8		1.10369
-6648		7527		-1		1.11026
-32		-46		-113		1.11688
-6529		-10		-98		1.1231
-119		-96		-98		1.1293
-6616		7541		-99		1.13571
-6615		-112		-6132		1.14209
-6631		-64		-6132		1.1485
-6580		-115		-4		1.15497
-6611		-56		-5762		1.16119
-6610		7244		-5773		1.16768
-117		7276		-6035		1.17432
-120		7498		-7		1.18088
-31		7529		-2		1.18701
-6646		-94		-5864		1.19333
-21		7505		-96		1.19983
-6616		-78		-6018		1.20634
-6540		-68		-118		1.21287
-102		-41		-114		1.21943
-6561		-46		-116		1.22577
-6644		-106		-102		1.23208
-6656		-64		-104		1.23856
-6627		7269		-5783		1.24526
-109		7254		-127		1.27098
-60		7459		-117		1.27743
-78		7469		-7		1.28377
-6630		7481		-5884		1.29036
-6641		7530		-5883		1.29667
-6612		-44		-5885		1.32044
-6599		-49		-5771		1.32687
-6628		7256		-5778		1.3333
-6544		-123		-6027		1.33982
-85		7517		-6033		1.34633
-93		7493		-6132		1.35303
-16		7540		-5870		1.35932
-6649		7443		-5884		1.36571
-6652		-36		-123		1.3721
-102		-40		-109		1.37854
-112		-40		-111		1.38493
-102		-59		-105		1.3913
-15		7510		-103		1.39767
-6623		-125		-6138		1.40405
-6625		-35		-6139		1.41053
-6589		-93		-5878		1.41706
-6592		-107		-125		1.42328
-90		-111		-113		1.42963
-82		7453		-98		1.43597
-96		-3		-6120		1.44243
-27		7532		-5859		1.44883
-6616		7436		-73		1.45517
-52		-68		-64		1.46151
-51		-104		-82		1.46791
-86		-93		-74		1.47444
-6632		7473		-5834		1.48106
-6620		-83		-75		1.50301
-55		-107		-78		1.50954
-58		-102		-82		1.51588
-36		7210		-80		1.52221
-6561		7429		-54		1.5287
-6583		7464		-81		1.53506
-62		7482		-121		1.56007
-78		7476		-6111		1.56652
-6591		7445		-5853		1.57294
-6590		7427		-5854		1.57953
-6631		7471		-58		1.58614
-6595		7531		-6109		1.61063
-6596		-99		-5855		1.61707
-6609		-70		-5859		1.62333
-6605		-119		-104		1.62994
-6613		-61		-78		1.63663
-74		-49		-42		1.66085
-73		7215		-87		1.66728
-6568		7429		-74		1.67365
-6610		7433		-82		1.68008
-6603		7244		-114		1.68674
-116		7479		-6021		1.71213
-23		7490		-6017		1.71869
-78		7510		-6127		1.72525
-85		7203		-106		1.73223
-65		7438		-6113		1.75975
-34		7453		-6130		1.76622
-6625		7510		-5846		1.77286
-11		7497		-5860		1.77945
-6586		7538		-118		1.78603
-50		-64		-81		1.79233
-6624		-16		-5841		1.79865
-6627		-60		-75		1.81335
-53		-115		-86		1.81968
-80		-74		-62		1.826
-6645		-88		-92		1.83235
-6628		-117		-6130		1.83855
-6574		-98		-5849		1.84492
-6579		-111		-5853		1.8514
-6608		7510		-98		1.85795
-6588		7523		-91		1.88005
-6629		-106		-6117		1.88658
-6597		-45		-5868		1.893
-6584		-108		-5864		1.89925
-6641		-122		-117		1.90577
-6625		-93		-103		1.91249
-73		-32		-6118		1.93901
-19		7468		-5874		1.94533
-6626		7526		-5852		1.9517
-12		7506		-103		1.95841
-6622		7508		-73		1.96488
-6641		-81		-85		1.99268
-61		-56		-81		1.9991
-73		-45		-79		2.00564
-6585		-62		-5870		2.01259
-6620		-95		-94		2.02311
-85		7427		-91		2.02955
-42		7427		-6129		2.03595
-71		7479		-5855		2.04229
-6632		7438		-5843		2.04869
-6610		7499		-82		2.05523
-6637		-63		-78		2.06151
-57		7517		-84		2.06816
-61		7277		-78		2.07498
-96		-49		-98		2.08135
-93		7252		-95		2.08746
-6562		-79		-85		2.09425
-6627		7537		-6143		2.1007
-6618		-110		-5853		2.10703
-6625		-93		-5886		2.11342
-6626		-45		-121		2.11976
-76		7289		-6035		2.12615
-120		-122		-119		2.13275
-115		7477		-110		2.13936
-110		7510		-1		2.1457
-35		-84		-113		2.15189
-10		-16		-112		2.15816
-128		-91		-102		2.16457
-94		-28		-98		2.17098
-89		7284		-63		2.17735
-6611		-109		-95		2.18371
-6634		-88		-1		2.18998
-6638		-89		-19		2.19642
-6590		-28		-22		2.20321
-6634		7443		-94		2.21802
-94		-41		-124		2.2338
-6529		-11		-123		2.24006
-48		-101		-94		2.24637
-6599		7490		-102		2.25285
-6622		-78		-5838		2.25929
-6612		7496		-71		2.26874
-6646		-108		-91		2.2751
-92		7434		-94		2.28161
-78		-127		-65		2.28801
-20		7258		-69		2.29444
-6639		7522		-59		2.30092
-6623		-83		-6131		2.3071
-6599		-73		-5863		2.31362
-6605		-87		-5862		2.32017
-6566		7217		-93		2.33762
-90		7517		-106		2.35348
-95		7527		-92		2.35987
-123		-125		-6100		2.36636
-6633		7521		-105		2.37279
-85		7457		-98		2.39904
-88		7424		-64		2.40551
-98		7426		-94		2.41213
-40		7183		-108		2.41878
-96		-22		-6112		2.42843
-33		7491		-5811		2.43484
-6636		7465		-6139		2.44139
-13		7551		-5871		2.44889
-6615		7514		-5868		2.45524
-6629		-86		-80		2.46169
-76		-109		-87		2.46791
-108		-67		-94		2.4746
-104		-122		-91		2.48096
