 X		Y		Z		Time[us]
-6615		-109		-5868		-3.94639e-44
-6595		7265		-110		0.00628102
-73		7488		-91		0.012533
-50		7520		-6097		0.018759
-6620		-86		-5862		0.0252341
-6598		-78		-77		0.0343561
-6633		7273		-58		0.0431341
-6618		7526		-64		0.0494901
-6600		7530		-6144		0.0560481
-6638		-52		-6121		0.0626251
-86		7270		-70		0.0693772
-6638		-93		-87		0.0843342
-6589		-101		-6119		0.0906552
-6588		7523		-6120		0.111243
-6644		-76		-5883		0.117668
-6557		7290		-5871		0.124014
-6561		-50		-110		0.130543
-121		7254		-106		0.137001
-61		7491		-115		0.143355
-95		7497		-6110		0.149934
-6637		7524		-5856		0.156464
-6607		-34		-5838		0.162643
-6596		-71		-80		0.168964
-90		-52		-93		0.175401
-53		-77		-76		0.181834
-65		7194		-81		0.188261
-6604		7531		-59		0.194743
-6609		7492		-6080		0.201098
-6569		-79		-5845		0.20741
-6596		-87		-5862		0.213785
-6589		-96		-87		0.220496
-48		7446		-93		0.226733
-67		7458		-6106		0.232882
-6596		7466		-5838		0.239237
-6627		7478		-5872		0.245702
-3		7504		-5839		0.252674
-6608		7445		-60		0.259127
-6645		-76		-73		0.265575
-75		-55		-59		0.271999
-51		-103		-56		0.278434
-60		7270		-64		0.284738
-6581		7245		-55		0.291214
-6568		7466		-6109		0.297843
-6587		-93		-5838		0.304067
-6577		7289		-5841		0.310435
-6552		7289		-93		0.316715
-70		7226		-113		0.323339
-72		7459		-74		0.329718
-73		7510		-6122		0.336126
-6617		7450		-5841		0.342621
-6611		7443		-5838		0.348968
-6628		7486		-72		0.355494
-70		-98		-73		0.361981
-75		-128		-50		0.368138
-30		7187		-64		0.374569
-6585		7508		-66		0.381007
-6601		7487		-6069		0.387418
-6579		-64		-5866		0.393791
-6564		-100		-5861		0.40004
-6592		-61		-89		0.40649
-6565		7245		-101		0.413094
-104		7276		-76		0.419938
-85		7518		-6124		0.426226
-6639		7476		-5846		0.432347
-6646		7479		-5815		0.438737
-6634		7530		-82		0.445203
-87		-76		-93		0.451615
-63		-42		-58		0.458165
-57		-51		-55		0.464574
-6575		7515		-79		0.470806
-6607		7530		-35		0.477177
-6556		-113		-6109		0.48376
-6626		-71		-90		0.490097
-78		-35		-98		0.506535
-64		-104		-72		0.513096
-80		-121		-67		0.519674
-6583		7509		-55		0.526095
-6594		7537		-6102		0.532271
-6613		-85		-6095		0.538804
-6575		-120		-5837		0.545377
-66		-58		-63		0.551697
-6550		7229		-51		0.574516
-6601		7510		-67		0.580989
-6596		-80		-6095		0.587367
-6540		-70		-5857		0.593711
-6570		7277		-5832		0.600299
-6561		7290		-88		0.606914
-47		7458		-93		0.613028
-104		7495		-55		0.619543
-37		7459		-6110		0.626002
-6609		7456		-5860		0.63235
-6613		7513		-109		0.638686
