 X		Y		Z		Time[us]
290		34		-9		1.59202e-309
303		-90		26		0.00639497
342		-13		-240		0.012242
287		83		-8		0.0215379
349		68		-10		0.0247789
368		93		-244		0.0312999
-105		-120		-32		0.0345969
305		-107		-10		0.0377628
289		46		25		0.0410158
261		-20		-18		0.0442348
360		74		14		0.0475888
-40		110		5		0.0508158
332		-125		25		0.0617548
309		102		-10		0.0650517
328		120		-255		0.0683117
4		-67		-11		0.0716447
-26		-81		23		0.0750317
294		-117		12		0.0784017
-39		-119		10		0.0815897
-57		88		27		0.0849607
-37		106		-11		0.0884466
-73		68		21		0.101226
256		-1		41		0.104436
-8		-107		-246		0.107634
-10		-47		-19		0.11082
-39		-80		-26		0.114127
125		-110		-25		0.117398
-32		-79		-247		0.120629
103		59		-15		0.131109
-83		94		-10		0.142804
89		-76		-21		0.146208
91		122		29		0.149494
112		66		16		0.152741
77		61		14		0.156011
-103		27		23		0.159308
274		93		11		0.16263
-16		117		21		0.165913
-38		59		15		0.169171
301		73		42		0.17238
-36		119		14		0.175687
257		31		12		0.178939
267		-106		-246		0.182273
-59		-120		3		0.185632
-123		75		-254		0.189106
-70		85		-40		0.192228
326		64		-253		0.195396
272		112		-59		0.198532
-76		-43		-23		0.201837
-108		-121		14		0.205121
64		115		9		0.208402
-79		58		27		0.211656
328		57		22		0.215023
265		-75		-6		0.218249
271		-94		18		0.221578
-100		63		5		0.224818
-35		49		60		0.228159
-13		67		-21		0.231525
276		85		-2		0.234795
53		-120		34		0.238059
-116		15		14		0.241646
-90		49		43		0.244957
-62		-113		9		0.248388
-92		58		-4		0.251751
-77		87		13		0.254948
-81		79		16		0.258084
-17		33		48		0.261296
0		79		0		0.264416
-51		90		17		0.267753
-47		-95		17		0.271287
-96		-66		-31		0.274482
-104		106		-37		0.27784
-26		116		3		0.281116
-90		-111		-250		0.284509
-103		127		-11		0.287839
-100		-100		20		0.291067
-125		123		-48		0.294488
-51		28		17		0.297746
-15		65		49		0.300924
-9		116		22		0.304145
119		22		0		0.307417
-85		96		31		0.310782
92		84		18		0.314204
71		56		15		0.317432
-104		76		0		0.320657
-42		86		16		0.323904
112		34		33		0.327109
-113		83		51		0.33042
-70		-111		-22		0.339709
-117		59		19		0.352152
-92		81		0		0.355528
-122		19		5		0.358792
-92		76		22		0.362111
-111		84		13		0.365351
-33		-246		33		0.368552
-55		1		24		0.371786
-74		-18		15		0.375054
266		-22		3		0.3784
-42		20		7		0.38168
121		86		25		0.385286
-76		10		14		0.388505
268		97		32		0.391683
315		-89		42		0.394847
276		89		31		0.398225
-29		117		8		0.401387
-37		48		18		0.404529
272		-7		30		0.407802
-10		34		-5		0.411043
273		69		-8		0.414661
-12		95		12		0.420414
-74		-253		36		0.423637
-66		8		-7		0.426849
-3		94		-4		0.430309
327		66		-2		0.433594
268		85		11		0.436985
273		70		-2		0.440305
259		59		26		0.443622
-1		-63		5		0.446873
-7		98		33		0.450251
272		72		3		0.4536
280		-46		30		0.45692
-70		99		12		0.460207
-82		81		16		0.463504
267		77		21		0.466658
301		100		6		0.470065
380		66		-11		0.473336
-63		92		42		0.476597
376		-97		19		0.480053
269		83		-14		0.483187
-121		111		-26		0.486491
363		-64		18		0.489606
-82		-53		6		0.492845
306		-118		18		0.496076
314		-77		-1		0.499423
306		122		9		0.509108
263		-98		7		0.521612
-24		-108		12		0.52492
-17		-52		-1		0.528247
271		-87		-2		0.5318
-58		110		7		0.534987
300		-84		49		0.538337
-8		-58		4		0.541688
109		-56		13		0.544949
-66		-33		13		0.548341
-57		-84		7		0.551571
-93		-82		-4		0.555102
-119		125		-4		0.558306
-82		-51		-27		0.56141
103		267		14		0.564633
-58		-84		45		0.567858
5		-62		36		0.571356
-52		4		15		0.578872
285		21		4		0.58218
-17		101		24		0.58547
-56		71		17		0.588793
-72		81		-5		0.592142
-13		96		29		0.595546
-84		-112		-7		0.598771
-86		-95		-11		0.60211
-87		125		22		0.605472
103		87		-239		0.608735
-78		117		-46		0.611975
324		66		-8		0.615164
310		-117		-26		0.618552
-84		-104		10		0.622034
-53		84		20		0.625428
82		-124		-5		0.628816
275		96		-23		0.632133
-58		100		15		0.635392
267		77		9		0.63887
-12		-52		43		0.642095
269		-3		40		0.645456
-103		-19		7		0.650931
281		-31		-12		0.654463
285		77		49		0.657806
-35		75		36		0.661189
-99		8		10		0.664474
-41		35		3		0.667873
294		28		-20		0.671126
79		106		-10		0.674353
80		-249		29		0.677789
-113		-22		67		0.68105
-91		36		67		0.684296
-81		-54		43		0.687482
-17		-46		18		0.690896
-51		20		64		0.694228
-88		-34		63		0.697507
-98		28		60		0.701016
-32		48		46		0.704254
-1		25		29		0.707434
-61		70		46		0.710757
-31		85		80		0.713976
-53		35		73		0.717196
-60		83		47		0.720414
17		73		22		0.723693
-114		80		14		0.730654
-64		59		56		0.734014
-103		19		66		0.737267
-124		71		75		0.740946
-1		120		46		0.744226
-82		116		61		0.747461
-81		110		95		0.750708
274		100		88		0.753995
-109		-106		75		0.75742
-7		121		77		0.760633
-2		-86		60		0.76392
-80		-52		100		0.767094
-71		113		93		0.770717
269		121		53		0.774034
267		-100		101		0.777332
289		105		68		0.780677
266		-93		88		0.78384
-46		-56		123		0.787061
-17		81		104		0.790277
296		-108		114		0.793387
374		-94		69		0.796787
288		-73		62		0.800012
292		-36		92		0.803275
-43		-60		80		0.809784
327		-55		89		0.813127
371		-24		111		0.816443
270		-47		93		0.819731
-45		-62		110		0.823033
-33		-114		-113		0.826339
259		125		-128		0.829686
330		117		-98		0.833008
335		-82		-118		0.836359
-46		-11		-103		0.839678
10		-72		-106		0.842864
-96		-113		-92		0.846073
-52		-82		-107		0.849389
348		-122		-98		0.852616
349		-33		-119		0.855938
-44		-86		-107		0.859237
-17		-123		-93		0.862472
291		-19		121		0.865667
-56		269		-116		0.86888
-112		-27		-103		0.871985
-113		307		-95		0.875193
59		33		-95		0.878564
13		-87		-98		0.881897
-59		125		-94		0.888515
-115		-93		-64		0.891747
109		-53		-87		0.895121
-87		109		-57		0.89845
-38		85		-66		0.901767
-74		120		-87		0.904979
-45		-115		-85		0.908333
324		-78		-67		0.911573
3		-78		-81		0.914821
270		-122		-92		0.91806
-10		-98		-109		0.921266
-92		-55		-115		0.924449
-101		-75		-127		0.927656
319		-22		-128		0.930902
-6		-52		-120		0.934214
10		-74		-72		0.937482
-28		-26		125		0.940914
-2		-51		-101		0.944097
353		-62		-122		0.947325
305		-42		-95		0.950493
326		-128		-65		0.953664
338		110		-119		0.956985
320		-90		-116		0.96024
-124		-107		-87		0.967249
-124		-86		-86		0.970478
378		-102		-86		0.973719
302		-46		-94		0.977152
-94		-100		-79		0.980553
351		269		-87		0.983832
310		-12		-75		0.987152
-9		-56		-68		0.990531
297		-75		-97		0.993871
278		-66		-65		0.997154
-128		-33		-79		1.00038
271		264		-121		1.00372
303		-38		-77		1.00702
319		-34		-79		1.01035
291		-72		-107		1.01356
