 X		Y		Z		Time[us]
-47		37		120		1.59202e-309
-103		-89		87		0.00926783
-16		-8		29		0.0132568
-127		41		45		0.0253545
-5		96		22		0.0287195
-124		78		22		0.0333824
636		36		-4		0.0369623
540		10		10		0.0404933
-102		67		3		0.0466452
-13		-125		-4		0.0497691
-89		-10		91		0.053039
363		-20		91		0.057846
343		33		63		0.0640128
370		-31		72		0.0672508
321		-35		112		0.0705537
-56		16		68		0.0749017
290		-3		103		0.0784776
-17		65		97		0.0838285
259		-71		119		0.0877694
-40		113		92		0.0920803
79		24		89		0.0965683
-121		-57		81		0.0998742
-108		-7		83		0.103389
76		33		95		0.106624
87		22		72		0.110009
43		47		66		0.113327
39		51		82		0.116626
9		84		38		0.119946
52		120		30		0.12344
-219		71		31		0.126692
-49		16		6		0.130011
4		13		10		0.133313
44		-14		16		0.136544
-35		-31		7		0.139765
103		-115		14		0.144378
-47		-104		38		0.147578
-91		123		48		0.151839
125		14		10		0.155299
84		-19		61		0.159654
-67		85		72		0.162975
93		64		66		0.166254
126		34		56		0.173695
98		41		94		0.176896
103		60		78		0.180193
-111		-39		91		0.183658
-106		47		69		0.187001
-95		-82		56		0.190522
-20		-140		52		0.193755
341		23		27		0.197151
-56		-248		-14		0.200507
623		37		-32		0.203731
-62		-106		-17		0.206983
619		-1		-51		0.210243
581		307		-12		0.213564
549		363		0		0.216798
280		346		1		0.220053
-105		337		-11		0.223442
-22		355		-8		0.226761
-47		320		-18		0.230042
323		4		8		0.233334
-2		-25		38		0.236601
-86		-29		53		0.239887
-72		82		42		0.24333
283		47		87		0.246835
-30		87		118		0.25008
0		65		-127		0.253377
22		-124		73		0.256656
-109		50		124		0.259916
-119		26		105		0.263282
-113		123		126		0.266695
-3		-11		-108		0.269888
120		-38		-102		0.273191
77		-68		-125		0.276495
104		-77		-120		0.27978
-62		292		57		0.28409
-137		-15		39		0.287218
-127		83		83		0.290515
-166		-102		74		0.293754
-13		-115		127		0.297085
-147		57		113		0.300608
-133		-124		124		0.303845
65		41		101		0.30714
-7		15		108		0.310483
-119		-88		120		0.313699
347		-83		-122		0.31707
520		82		-92		0.320307
-115		-56		-97		0.323701
-24		-56		124		0.327018
513		-112		-123		0.330398
-109		-94		112		0.333881
366		21		118		0.337097
-40		82		-108		0.34074
-5		88		-109		0.344014
-48		-25		-116		0.347256
276		-16		-115		0.350498
266		-248		-114		0.353859
-53		-111		-73		0.357339
-36		-152		-101		0.360643
272		-122		-116		0.36393
375		15		-62		0.367395
-13		-27		-83		0.370507
545		127		-62		0.374916
868		12		-118		0.378308
-124		296		-85		0.382539
797		300		-65		0.386003
546		361		-100		0.390718
262		-110		-97		0.39424
-107		298		-87		0.398783
27		270		-98		0.402252
-6		-101		-108		0.405414
348		-15		85		0.408561
-221		96		-121		0.411809
33		-70		-127		0.416212
-115		1		124		0.419439
-85		-128		-88		0.422694
-85		60		-70		0.432747
-113		72		-59		0.438969
-85		-97		-64		0.44221
-117		-97		-77		0.445553
-97		307		-67		0.448813
-35		4		-73		0.452269
-150		-33		-58		0.455589
-77		274		-60		0.458948
-436		275		-88		0.462394
-431		-48		-99		0.465769
-105		105		-100		0.469017
-386		39		-118		0.472361
-410		-251		125		0.475654
-222		20		106		0.478959
-106		55		119		0.482354
-128		84		81		0.485558
-135		90		107		0.488847
-145		-83		96		0.492437
-88		-83		111		0.495685
-159		-13		113		0.498972
-15		-58		72		0.502636
-203		-89		70		0.505836
-138		-124		107		0.508952
-185		-70		-92		0.512144
-208		75		-109		0.515283
-194		-78		-120		0.520027
-249		-121		-74		0.523167
-35		-145		-76		0.526277
-133		-170		-52		0.529606
88		-166		-50		0.533533
-49		-206		-62		0.536774
305		-153		-75		0.540989
-18		-82		-120		0.544272
613		58		-95		0.547814
842		88		-121		0.552297
-78		-83		118		0.555917
1057		-37		86		0.560361
-31		270		58		0.563712
-11		-27		48		0.582069
590		-54		88		0.585461
-59		-63		108		0.588725
-125		-32		-115		0.592116
-81		120		104		0.595536
-123		125		-62		0.59879
624		-6		-73		0.602074
293		264		-68		0.605319
617		-38		-60		0.608532
-126		-20		-39		0.612003
535		-16		259		0.615253
-107		-104		266		0.618563
-78		-37		260		0.621897
618		-90		-10		0.625299
-44		-109		-17		0.628799
-56		-36		-9		0.632077
-113		298		-6		0.635687
295		321		-47		0.639011
272		369		-50		0.642465
-4		306		-57		0.646913
-17		-9		-55		0.650133
272		285		-70		0.653316
275		317		-80		0.656421
-45		-117		-88		0.659628
-30		362		-73		0.66277
-6		46		-60		0.665872
-25		-4		-58		0.669082
-51		301		-72		0.672329
-46		-30		-75		0.675566
0		-33		-67		0.681693
77		113		-54		0.684841
-49		113		-119		0.688166
-71		78		-73		0.691622
-114		-12		-71		0.694844
-83		22		-65		0.698176
27		-94		-75		0.701588
28		27		-82		0.704983
99		-9		-86		0.708412
-116		18		-59		0.711682
38		-21		-95		0.715375
-73		-20		120		0.718678
-36		-44		-106		0.722044
266		-73		-76		0.725501
-79		10		-97		0.728862
-92		-36		-99		0.732102
-107		-15		120		0.73544
-76		-74		-98		0.738729
123		-127		122		0.742047
29		-62		-124		0.745296
-110		-16		116		0.748508
32		56		67		0.751681
-104		-10		95		0.755021
-147		25		113		0.758416
-190		47		-119		0.761665
-202		-111		-102		0.764977
-187		-127		110		0.768208
-168		-41		110		0.77141
-84		36		-105		0.774519
-60		47		-109		0.77768
-56		-31		-106		0.780901
-66		-81		-117		0.783999
-193		-57		-103		0.788511
-103		-55		-119		0.791937
-109		40		-107		0.796479
-51		67		-123		0.800099
-101		-58		-127		0.804424
-171		122		-121		0.807722
-174		-106		116		0.811177
-35		-86		107		0.815341
-10		113		110		0.820162
-7		105		118		0.823383
-51		84		-122		0.826719
-36		56		-100		0.829981
-21		26		-109		0.833321
-28		-48		-75		0.836611
-173		-80		-76		0.839972
-180		-4		-78		0.843273
-103		97		-77		0.846552
-19		78		-59		0.849905
91		93		259		0.8533
-101		34		-22		0.856665
-86		43		-38		0.859998
-28		-123		-65		0.863221
339		-64		-66		0.866573
-128		281		-11		0.869896
352		295		-8		0.873216
-98		-70		-32		0.876726
-28		-73		-7		0.880055
516		25		-61		0.883338
821		-87		-71		0.88674
895		-9		-125		0.890314
1104		342		114		0.89352
-124		319		103		0.896712
-118		123		-36		0.901522
-21		66		-72		0.904755
-93		1050		-8		0.908955
819		-96		-26		0.912367
-35		1142		73		0.916921
-2		-23		62		0.920338
-67		69		9		0.923463
812		258		64		0.926569
602		588		78		0.929727
-41		608		-71		0.934337
335		291		-53		0.937477
44		290		-16		0.940715
108		-75		272		0.943813
-28		-114		324		0.947937
-11		-32		325		0.951202
264		82		281		0.954528
-73		-99		-10		0.958549
540		-65		-91		0.96173
-97		525		-35		0.965044
868		-3		-110		0.968217
-39		635		-104		0.972628
-27		777		-90		0.975975
-76		-103		105		0.980374
-40		-99		54		0.983684
313		-105		-14		0.988144
-29		892		-34		0.991569
269		520		-16		0.995533
-65		775		-38		0.998765
614		379		117		1.01892
-87		-119		93		1.02217
-56		330		86		1.02548
323		549		14		1.02906
326		309		29		1.03257
521		72		-112		1.03584
343		127		-172		1.03902
-27		5		29		1.04247
330		-98		13		1.04576
373		-33		13		1.04915
-143		-120		59		1.05248
-107		108		-10		1.05588
-453		-1		-18		1.05952
-57		309		40		1.06292
-163		281		61		1.06624
-480		369		75		1.06992
-224		369		100		1.07314
-82		298		102		1.07748
-51		-43		-49		1.08086
-97		-158		-117		1.08535
-114		-247		124		1.08854
-40		-245		123		1.09173
569		-233		-120		1.09484
378		-62		-112		1.09932
-47		-136		-89		1.10259
271		-243		-89		1.10589
289		-168		-128		1.1091
286		-150		104		1.11224
-21		-61		55		1.11544
125		8		62		1.11858
-96		48		109		1.12173
-209		69		88		1.12495
-71		-3		109		1.1282
-90		-79		85		1.13317
111		-101		124		1.1364
90		-132		-110		1.14126
-44		-145		-103		1.1474
-69		-141		125		1.1506
311		-159		-125		1.15394
586		-65		-121		1.15716
-63		-84		-107		1.16056
557		-146		-122		1.16384
627		-55		114		1.16712
521		-125		-113		1.17053
-118		60		-125		1.17383
