 X		Y		Z		Time[us]
-56		-55		51		1.59202e-309
-118		-62		60		0.00666684
-93		114		44		0.0124247
-76		116		48		0.0269823
-78		102		85		0.0299983
-18		-96		50		0.0333142
-21		-68		71		0.0365231
-56		-64		44		0.039796
-116		-44		74		0.043009
-107		-112		65		0.0463989
-21		99		49		0.0496378
285		54		47		0.0547597
-71		112		70		0.0578756
-72		120		58		0.0611085
-40		110		58		0.0644884
-78		-123		45		0.0678274
-12		-69		65		0.0711343
-27		-41		36		0.0744642
-111		-42		20		0.0777771
119		-54		20		0.081243
-61		118		46		0.0845359
-19		-101		62		0.0951407
-58		-119		65		0.0984496
-64		122		50		0.101762
-19		116		25		0.105135
-12		-86		33		0.108342
-34		-86		56		0.111578
-88		-40		19		0.114777
111		-78		55		0.118152
108		116		32		0.121394
-17		-85		40		0.145142
-2		-46		41		0.14846
-98		-79		49		0.151733
78		-82		71		0.155013
-77		121		45		0.158321
-47		83		35		0.161635
-14		117		0		0.165051
-53		-86		29		0.168394
-84		-106		40		0.171694
-76		99		41		0.174859
-37		107		48		0.178018
-58		-72		50		0.181127
-7		-65		62		0.184377
81		-60		38		0.187765
103		-58		20		0.190919
-77		64		44		0.194286
-47		87		27		0.197605
263		47		31		0.200863
-74		106		32		0.204209
-68		100		67		0.207397
-53		91		45		0.210709
-71		114		57		0.213975
-46		-115		35		0.217253
-40		-86		51		0.220447
-82		-77		42		0.223911
-125		-49		33		0.227287
-63		113		38		0.230767
-7		105		42		0.234083
-11		123		33		0.237371
-2		-107		31		0.255601
-46		-77		63		0.258853
82		-56		36		0.262204
117		-128		45		0.265555
-62		67		51		0.268794
-25		108		21		0.272057
-22		79		25		0.275372
-51		-103		55		0.278662
-11		83		46		0.281969
-87		-122		34		0.285273
-15		126		37		0.288611
-54		-81		37		0.291961
-43		-79		41		0.295195
-89		-49		50		0.298472
-93		112		43		0.301717
-38		-107		37		0.325969
-77		-124		35		0.329147
-102		-64		46		0.332508
103		-85		44		0.335878
-99		103		30		0.339446
-49		87		60		0.342573
274		104		50		0.346004
-69		-116		36		0.34938
-48		124		17		0.35261
-76		-45		52		0.35588
-77		-118		45		0.375765
260		105		56		0.379191
263		86		42		0.382519
-41		-89		47		0.38574
-53		-92		55		0.389071
-53		106		31		0.392321
-22		105		49		0.395758
-56		-120		33		0.39903
-13		-67		44		0.402333
-58		-50		63		0.4059
-123		-72		52		0.409176
-33		89		48		0.415003
262		83		17		0.418155
284		77		32		0.421441
-90		-51		49		0.424688
-47		120		42		0.427871
-69		-110		24		0.43119
282		125		29		0.434475
-60		-99		25		0.437697
