 X		Y		Z		Time[us]
-109		1624		16212		-3.7975e-44
786		1359		-59		0.00608599
-28		1564		16137		0.013018
818		-18		16992		0.019358
-96		1873		-45		0.025805
856		-42		16141		0.034714
-96		1899		-11		0.0530349
-40		1871		16899		0.0595559
-124		-45		-3		0.0658129
-4		-77		16424		0.0738689
1351		2059		16255		0.0909139
-125		-13		16452		0.0972109
-37		-4		16747		0.103607
1118		-69		16659		0.12559
-118		-58		16428		0.132003
573		-50		16443		0.138493
-13		1599		16459		0.144801
1398		1584		16237		0.151372
1369		1800		-36		0.157932
-26		2107		-81		0.164406
1402		-63		15661		0.17054
-88		2082		-47		0.176701
1378		-57		16492		0.183372
1051		1562		16719		0.18983
-94		-53		17418		0.1963
1306		1651		-113		0.202859
1085		-60		-43		0.209279
-38		1632		-52		0.215471
1544		-25		16693		0.221795
1655		1813		16406		0.228266
-42		1826		17000		0.234714
-88		-92		-8		0.24081
1130		1900		15703		0.247221
1046		-14		-48		0.253616
1151		-34		16968		0.260156
1359		1823		-76		0.266503
-59		1800		16241		0.273085
-122		1835		16935		0.279638
-52		1864		16955		0.285973
1824		-70		-16		0.292503
-26		-95		-41		0.29905
1575		1848		16982		0.305588
-42		-52		17232		0.311938
1590		-47		16439		0.318275
1656		-41		16430		0.324572
1345		-108		16168		0.331018
-53		1832		-106		0.337442
-9		1867		-113		0.34402
1902		1866		16467		0.35038
1904		2098		-101		0.356818
-95		-40		15628		0.363212
1592		1886		15984		0.369884
-97		2154		16504		0.37599
1390		1847		-28		0.382385
1635		-9		-67		0.388871
1862		-22		-18		0.395122
1820		1794		-72		0.40164
1867		-16		-55		0.408441
1864		-93		-126		0.414934
1538		-120		-27		0.42133
-6		-106		16503		0.427814
-97		1543		17264		0.434222
1636		-36		-42		0.440673
-28		2138		-125		0.447284
1655		-93		-69		0.454526
1652		-106		15455		0.460815
-36		1574		-23		0.467215
-113		1612		-51		0.473807
1906		-9		15948		0.479896
2091		1651		-52		0.486032
-96		-25		-90		0.492292
1562		-116		16960		0.509649
2426		-49		-77		0.525506
2090		-37		16687		0.531741
-121		2118		16148		0.538395
-93		-80		16242		0.544903
-21		1882		-70		0.57107
-80		2050		15917		0.577567
-125		2139		-45		0.584007
2148		2390		16206		0.590543
2400		1818		15885		0.596982
-122		1584		16760		0.60305
2170		-58		-104		0.609595
2102		2055		-62		0.615989
2361		-24		16427		0.622418
-67		2347		-31		0.628783
2371		-102		16765		0.635173
2390		-106		17020		0.641682
2392		1624		-35		0.64804
2317		-78		-78		0.654626
-122		-104		-31		0.661314
2416		2367		15639		0.667408
2398		-51		16249		0.673512
2408		1827		-14		0.679968
-48		1894		-120		0.686309
2416		1914		-68		0.692702
2636		2428		16452		0.699191
2843		-74		16993		0.705578
-108		2314		16395		0.712022
-52		1914		16475		0.718493
2648		-77		-64		0.72494
2935		-61		16688		0.731211
2893		2124		-39		0.737343
2389		-112		-71		0.743864
2595		2603		-72		0.750227
2838		-12		15889		0.756647
-118		-73		-15		0.762879
2637		2170		-23		0.769508
2876		2331		-103		0.775823
-62		-70		16196		0.78235
-68		2427		-65		0.789142
-53		-108		-15		0.795416
-128		-3		16233		0.801562
2823		2112		17468		0.807939
2935		-85		-123		0.814204
2920		-40		16464		0.820596
2629		-40		-12		0.826978
-95		-64		15741		0.833274
-117		2147		15956		0.839544
-27		-53		-57		0.845983
-33		2155		15877		0.85251
3331		2328		-44		0.858977
3184		-124		16386		0.883071
2595		-61		-81		0.889374
-12		2160		16904		0.89563
2897		-17		-19		0.902131
-65		2053		-5		0.908706
-36		-100		16410		0.915122
-3		2583		-35		0.942517
-89		-93		-64		0.949027
3415		-54		-65		0.955633
-106		2059		-36		0.96205
-36		2418		-39		0.970676
-120		2627		-72		0.977013
-44		2365		15440		0.983404
-113		-86		15120		0.989799
3335		2609		14905		0.99621
-37		2680		-86		1.00248
3407		-83		-79		1.00892
-96		-92		15670		1.01527
-29		2818		16200		1.02185
-115		-41		-53		1.02848
3676		-92		-48		1.03464
4111		-29		15650		1.04095
3586		-17		-8		1.04732
-125		2607		-122		1.05379
3083		2650		-118		1.06018
3135		-78		-23		1.06651
