 X		Y		Z		Time[us]
564		1568		17532		-6.22873e-44
-94		-109		16643		0.00641874
-11		-96		-38		0.0132744
619		-89		16903		0.0196032
-126		-113		16928		0.0259539
575		-97		-120		0.03562
603		1582		17268		0.0528256
-121		-90		-36		0.0591744
515		1623		-7		0.066018
-77		1654		-42		0.0722288
-105		-36		-45		0.081415
1050		-100		-101		0.096557
-9		-10		16440		0.103019
-100		1389		-36		0.124849
-113		1600		16132		0.131424
-36		1558		16414		0.137807
-114		-48		-25		0.144237
263		1386		17159		0.150814
-36		-8		16666		0.157296
-101		-74		16682		0.163843
-106		1600		-39		0.170033
566		1550		-116		0.176649
859		-17		-58		0.183499
-32		1626		-93		0.189787
-61		1656		-37		0.196198
-111		-128		17234		0.202834
602		1631		16212		0.209198
616		1627		15957		0.215602
534		1379		15893		0.222168
-70		1628		-8		0.228773
-70		-63		16978		0.235653
822		-117		-68		0.242078
784		-107		-5		0.248361
604		1582		-117		0.254864
586		-54		16722		0.261174
540		-121		-15		0.267656
858		1537		15711		0.274652
-121		1607		-45		0.281069
-13		1559		16709		0.287455
-79		-98		16450		0.293856
614		-13		-3		0.300226
-106		-79		16232		0.306935
543		-63		16688		0.31305
-24		1544		-41		0.319188
602		-46		-100		0.325622
-58		-126		16746		0.331977
534		-8		16961		0.338323
779		1398		15921		0.344679
-120		-127		-55		0.351074
-37		-88		-64		0.357444
-65		-40		16705		0.364366
859		1627		-57		0.370883
-49		1628		16976		0.377223
-67		1570		-122		0.383686
514		-123		-91		0.38999
-41		1592		16442		0.396358
-69		1612		16740		0.402856
-28		1543		-29		0.40922
-36		-8		16927		0.415637
853		1579		16394		0.421829
-3		-124		-20		0.428192
-3		1550		15711		0.434685
-34		1564		16767		0.441219
-74		-14		16419		0.463228
795		-126		16210		0.469693
589		1402		15948		0.476125
-85		-78		-12		0.483018
-79		1608		16141		0.489536
554		1594		-125		0.496235
891		-86		16762		0.521157
555		1600		16703		0.527765
-76		-97		-11		0.534187
-5		-96		-20		0.540623
-22		-88		-32		0.547072
-102		1544		16445		0.553426
571		-83		16951		0.559506
864		-22		-82		0.565933
-43		1626		-67		0.572317
872		1616		-40		0.57856
-43		1374		16967		0.584988
-111		1588		16703		0.591568
637		-82		-111		0.598012
272		-120		16144		0.604402
-88		-85		-12		0.610971
882		1663		15880		0.61746
575		-65		16506		0.623705
606		-30		-15		0.629979
604		1596		16488		0.63633
-83		-66		-28		0.642755
-20		-126		16759		0.648981
808		1624		17233		0.655385
-65		-17		16672		0.66187
-8		1547		-102		0.668228
-37		-106		-91		0.67473
-109		-24		16498		0.681133
-99		-36		16482		0.687223
544		1557		-27		0.693605
-86		-118		-42		0.700126
-37		-68		-117		0.706585
-102		-3		16159		0.712962
582		-59		-73		0.719301
844		-43		16648		0.7257
-124		-77		-17		0.732155
604		1567		15715		0.738585
-8		-28		16132		0.745015
-111		-72		-110		0.755417
-62		-75		-123		0.761689
-111		1612		16475		0.768116
614		1632		16407		0.774608
-101		-22		15628		0.781108
578		-74		16688		0.787445
-98		-97		-96		0.793883
-4		-36		16447		0.800349
-46		-9		-47		0.80687
-33		1603		-102		0.830123
810		1548		15937		0.83659
606		1606		16652		0.84286
-1		-112		-94		0.849259
827		1631		-5		0.855961
-121		1612		16923		0.862573
-116		-42		-28		0.869006
-111		1551		16659		0.89373
635		1550		-106		0.900217
-38		-14		-39		0.906703
888		-5		17020		0.913263
619		1634		16648		0.919938
-97		1564		-45		0.926075
-75		-73		16396		0.932292
-122		1377		-37		0.938672
-75		1613		-42		0.94506
519		1608		16704		0.951412
823		1548		16919		0.957824
834		1557		16750		0.96424
-25		1366		17017		0.97058
332		1594		-80		0.977039
-46		1551		16475		0.983645
-25		-34		16500		0.990142
608		-113		-124		0.996411
-77		-85		16699		1.00286
887		-61		-90		1.00925
870		-121		-20		1.01574
807		-128		-64		1.02212
-102		-117		16659		1.02845
-46		1638		16504		1.03492
-49		-20		-54		1.04138
315		-78		-33		1.04794
531		-128		-19		1.05427
634		1567		16751		1.06048
-101		1642		16447		1.0669
-112		-68		15996		1.07331
-13		1586		16253		1.07978
780		-48		15875		1.08601
-8		1352		16201		1.09246
571		-62		17196		1.0988
615		1818		16898		1.1053
-118		-114		17020		1.11187
-22		-52		16135		1.12087
-113		-30		15690		1.12729
-105		-112		16131		1.13366
806		1398		-65		1.14007
-21		1541		16458		1.14638
584		-108		-100		1.15287
-66		-110		16189		1.15926
838		1586		16492		1.16558
518		1617		15885		1.17212
1085		1313		-68		1.17869
849		-36		15899		1.20184
-33		1661		-40		1.20831
-101		-62		16173		1.21473
-61		-52		-16		1.22127
-45		1643		-47		1.22778
-22		-66		15729		1.23406
849		1663		16657		1.24451
-72		1640		-8		1.25083
542		-58		-59		1.25714
-105		-75		-55		1.26351
-10		-49		-99		1.26985
-25		1655		16402		1.27633
-62		1583		15897		1.28281
-89		1590		-36		1.28937
-106		1550		16223		1.29565
824		-118		16758		1.30187
-42		-99		16725		1.30836
624		-72		-124		1.31474
806		1576		15989		1.32122
-8		-29		16685		1.32746
582		1563		16648		1.33389
513		1570		-75		1.34068
820		-29		16511		1.34715
779		-121		-106		1.35372
-20		-3		16703		1.37942
860		-118		-117		1.3857
-34		-94		15879		1.39211
-50		-122		16216		1.39849
571		1362		-21		1.40503
-116		-14		-69		1.41148
615		1611		16160		1.41781
-9		1626		-10		1.4325
780		1587		-30		1.43892
365		-104		-64		1.44536
607		1638		15883		1.45195
-32		1590		-104		1.45821
-95		-75		-56		1.46448
-104		-112		-121		1.4709
-33		1369		-33		1.47738
-31		1377		-12		1.48388
1107		-21		15988		1.4933
363		-100		-24		1.49977
-18		-25		17244		1.5061
827		-65		15952		1.51247
636		-32		16428		1.51882
-43		-42		17425		1.5251
-25		1389		16431		1.53143
-18		-10		-15		1.53797
-68		-122		-84		1.54475
632		1544		-91		1.57195
-92		-54		17180		1.5784
-83		1570		-119		1.58482
-73		-110		16416		1.59118
-77		1643		16664		1.60105
593		-70		-76		1.60738
-62		1617		16673		1.61398
-48		-43		17021		1.62067
-36		1606		16509		1.62689
773		1576		15993		1.63315
-111		1647		16996		1.63951
-117		1586		16691		1.64594
1300		-22		-16		1.65258
-65		1626		-78		1.65883
831		1651		-43		1.66504
-122		1647		-126		1.67151
-93		1622		-92		1.67782
-18		-94		16443		1.68428
-117		-18		-12		1.69063
622		1606		16500		1.69693
1043		1627		-15		1.70315
-100		1570		16991		1.70994
-26		-40		16728		1.7164
-52		1341		-109		1.74031
-64		1583		15679		1.74665
847		1375		15442		1.75286
571		-91		16442		1.75929
-85		1892		-16		1.76576
520		-98		-118		1.7882
-126		-50		-94		1.79459
-21		-82		-1		1.80093
1074		-40		-24		1.80724
-101		-112		16923		1.81368
829		-59		-60		1.82052
1126		1648		-108		1.82676
-54		1547		16439		1.83289
634		-20		16244		1.83922
514		1591		-117		1.84548
564		-10		-92		1.8519
-18		1576		-32		1.85824
-30		1622		-77		1.86465
-16		1626		16666		1.87113
-32		-18		15967		1.87756
270		1568		16648		1.88404
-52		1586		16503		1.89017
-105		1400		-124		1.89636
780		-43		16436		1.90277
-99		-82		16447		1.9092
815		-26		16428		1.91549
587		-126		17408		1.92191
-68		-127		-20		1.92817
890		-124		16913		1.93456
603		-36		16416		1.94148
-25		1627		-82		1.94786
571		-95		-70		1.954
530		1580		-84		1.96046
-101		-120		16469		1.96682
-100		-68		16480		1.97319
575		1793		-92		1.97963
-111		1806		17219		1.98592
-40		-40		-128		1.99215
874		1377		-16		1.99875
626		1572		-40		2.00538
-4		-102		-67		2.02876
-78		-45		16415		2.03515
324		-125		15397		2.04141
341		1611		-60		2.04781
-94		-63		-64		2.05425
871		-73		-118		2.06087
818		-75		16916		2.07184
-41		1293		16760		2.07826
-40		1390		16204		2.08474
-82		-121		-10		2.09107
1079		-100		15913		2.09757
-20		-12		16252		2.10385
-116		1559		-86		2.11026
-30		1626		-52		2.11702
559		-33		16168		2.12324
74		-110		16394		2.12963
53		-5		16201		2.13607
-106		-36		16191		2.14257
-17		1652		-47		2.14895
578		-46		-100		2.15522
-63		1628		-95		2.16165
-37		-65		15872		2.16803
-69		1603		-47		2.17447
572		-86		16651		2.18107
-101		-25		16400		2.19055
327		-26		-40		2.19682
780		-127		-30		2.20331
891		-15		16673		2.20966
799		-13		-11		2.21602
1040		1347		16767		2.22228
-104		-50		-120		2.22856
1107		1656		16502		2.23502
816		-91		17205		2.24184
-42		1362		-80		2.2673
782		1344		17253		2.2738
-13		1555		-21		2.2805
-32		1407		-95		2.28735
563		1386		-68		2.29367
-79		-28		-73		2.29996
-78		1642		-17		2.30864
-46		-37		-116		2.31491
-206		1882		16418		2.32133
-5		1860		17671		2.32774
883		-49		-127		2.33404
1082		-93		-31		2.34044
-96		-73		-69		2.34671
1567		-86		-52		2.35318
-5		1127		16428		2.35971
-121		-53		-51		2.36648
-128		-65		16155		2.37775
-81		1899		14605		2.38415
-48		-33		-31		2.39051
-94		2680		15425		2.39707
-88		2389		-117		2.40345
