 X		Y		Z		Time[us]
-52		-110		16692		-5.02011e-44
1048		-49		-36		0.00628298
-25		1365		-68		0.0241669
-56		-125		-120		0.0302419
878		1550		16688		0.0365549
783		-62		-52		0.0451699
-115		1345		-96		0.0519959
-77		-82		-11		0.0584509
-10		-102		-107		0.0649578
612		-109		16738		0.0714428
-92		1626		15698		0.0855278
818		1602		-93		0.0918978
-40		1337		16245		0.10987
538		-127		16697		0.116356
-74		-97		-102		0.122887
570		-57		-37		0.129374
-5		-50		-119		0.135705
773		-51		15972		0.142065
-32		-47		-108		0.148712
600		-11		16223		0.155211
-4		1300		-120		0.161323
-97		-50		-60		0.167555
1052		1404		16646		0.173993
582		1336		16655		0.180354
-5		1319		16224		0.18677
-41		1400		16763		0.193262
588		-82		-77		0.199694
1068		1325		-128		0.206151
836		-127		-59		0.212736
-125		-82		17277		0.219488
-101		-57		15967		0.226118
-102		-128		-80		0.232228
-54		1345		-65		0.238459
829		-95		17456		0.244765
554		-26		-30		0.251153
1070		-44		-63		0.257606
1067		-37		-89		0.264077
-92		-78		16476		0.270536
887		1558		16461		0.276824
886		-16		16412		0.283267
855		1820		-120		0.289676
-108		1648		-25		0.29619
1832		-123		15883		0.302365
-81		-65		-109		0.308784
-35		1846		-15		0.315137
2118		1608		16734		0.321517
1619		-89		17473		0.327836
311		1407		16663		0.334257
296		-8		-41		0.340556
-96		1146		-127		0.34698
779		1307		-42		0.353472
1286		-3		-108		0.359988
1597		1537		-94		0.366171
2088		1807		15141		0.372573
-34		1544		-29		0.383977
-10		-113		15382		0.390321
-112		-68		16448		0.396711
-12		806		16136		0.40301
1109		-82		16191		0.409378
1571		-11		17000		0.415719
-127		-75		-105		0.422011
1793		1397		16198		0.428429
-101		-7		17412		0.435221
-6		-118		-109		0.449193
-31		1312		-71		0.465226
1377		-112		16165		0.47164
1098		-13		16744		0.47784
-6		-67		16486		0.48424
2166		-1		-89		0.49073
-51		1650		-35		0.500041
-128		-8		16647		0.506258
1639		1820		-62		0.512623
1371		1570		-88		0.519077
1596		-114		16644		0.525426
-18		-99		16668		0.531754
