 X		Y		Z		Time[us]
1030		1283		17477		-3.73619e-44
-100		1539		16679		0.00691013
-30		1558		17531		0.0137293
1092		1375		16719		0.0201934
-22		1349		17016		0.0295716
-16		1324		16739		0.0359037
-78		1284		15925		0.0425438
-62		-57		16491		0.0489849
1297		-40		16713		0.055176
1316		-16		-105		0.0631312
1297		1323		15648		0.0696053
1319		1280		16407		0.0796115
1309		1331		16939		0.0860266
-40		-83		-123		0.0924087
1313		-25		-41		0.0989189
-53		1554		-41		0.105452
1124		-46		-69		0.120553
-16		1587		-35		0.126742
1030		1299		-15		0.133083
872		-92		15972		0.160635
1120		1357		16927		0.166998
1116		1315		-51		0.173504
-52		1623		17197		0.180043
876		1386		-95		0.186322
1070		1283		16682		0.192548
-108		1397		-116		0.198805
828		-5		16177		0.20528
-62		1597		16941		0.21179
810		1379		-82		0.218114
1351		1139		-89		0.22455
-109		1120		-19		0.231175
-19		-105		16499		0.237661
808		-20		-12		0.244343
1568		1370		16992		0.251099
-111		-79		17263		0.257415
-65		1090		-95		0.263569
-73		-61		-118		0.270151
-29		1356		16202		0.276471
-57		-65		-62		0.282857
-13		-40		-85		0.289358
1300		1356		-107		0.295712
871		-62		-56		0.302253
1063		-42		-19		0.308774
-116		-32		17265		0.315393
1339		-33		-55		0.321476
-40		1311		17453		0.327798
-89		1557		-47		0.334207
1026		1284		16900		0.340604
-118		-113		17245		0.346915
824		-109		-99		0.353296
1095		-82		16944		0.359585
-25		-88		-19		0.366013
-20		1317		-28		0.372546
1599		1394		16650		0.379262
808		-14		-77		0.385503
-58		1287		-4		0.391666
1090		-104		15968		0.398082
1114		-29		-76		0.404492
1090		1384		-78		0.411076
-111		-114		-92		0.417537
-67		1345		17012		0.423805
-128		-31		16676		0.43012
-36		1383		16486		0.436665
-92		-88		-29		0.443234
1068		1280		16164		0.465601
1109		1332		16410		0.472027
-81		-113		-117		0.478403
812		1382		-48		0.484597
-19		1292		-64		0.491065
-8		1283		-15		0.497527
-47		-1		16650		0.505954
1284		-21		16237		0.51208
-83		1280		-7		0.518492
1092		1592		-127		0.524968
883		1300		16162		0.531344
1082		1382		16689		0.537646
1087		-123		-15		0.543939
-118		-37		17000		0.55029
1357		-9		-118		0.557213
1302		1315		-38		0.563918
1075		1290		16221		0.588774
1026		1335		16996		0.595159
-37		-113		-96		0.601395
870		-65		16471		0.6079
-33		-41		-112		0.614464
1058		1370		-128		0.635828
-80		1563		-24		0.642283
-22		-73		17172		0.648739
1343		-79		17705		0.655206
1151		-105		17213		0.661685
-117		-56		-18		0.66819
834		1365		16239		0.674723
1373		1375		16206		0.680821
1315		1390		16168		0.68719
-41		1547		-49		0.693521
1032		-3		-15		0.700314
1052		1351		-111		0.706705
800		1383		-61		0.713071
-115		1543		-4		0.719548
-68		1347		-99		0.725892
1317		1639		15977		0.732316
-15		1597		16486		0.739062
-78		1320		-99		0.745467
848		1366		-122		0.751516
-62		-73		-23		0.757884
-48		-30		-56		0.764574
1079		1407		16415		0.77087
1347		1394		16230		0.777225
-89		-126		-100		0.783619
1128		-20		16184		0.789985
-89		-98		16469		0.79652
-13		-102		16898		0.802985
-76		-21		17516		0.809422
1325		1324		-27		0.815484
1091		1373		-125		0.821711
-24		-75		-24		0.828156
-125		-86		-47		0.834592
1332		-113		-102		0.840824
1091		-98		-13		0.847281
1056		1375		16948		0.853547
-113		1324		16648		0.859915
795		1143		-14		0.86641
-109		1292		-68		0.873234
-100		1290		-8		0.879364
1343		-77		16932		0.885513
1101		1366		-120		0.891894
-28		1377		-116		0.898354
-112		1560		16483		0.904759
-62		-19		16389		0.911149
1029		-89		16444		0.917372
800		-104		-33		0.92377
1306		-38		17251		0.930292
-60		1383		16506		0.936716
848		1336		-126		0.946942
-25		-38		16764		0.953277
-62		-70		-13		0.959635
1283		1596		16241		0.96605
-70		-36		-26		0.972418
-74		-20		17152		0.978724
1071		1340		16762		0.985074
-52		1284		16136		0.991545
1091		-57		-38		0.998231
-9		1362		17179		1.01413
-65		-107		-90		1.02024
-122		1387		16160		1.02658
1083		-86		15712		1.033
1035		1283		-92		1.03933
593		1340		16459		1.04558
-8		-5		16509		1.05215
-91		-28		16647		1.05911
-33		1341		15903		1.084
-28		1343		17225		1.09063
879		-5		-101		1.09701
-60		-112		-108		1.10344
1035		1286		-12		1.11011
1119		-98		16916		1.13443
-76		-70		-16		1.14084
1083		-12		16669		1.14716
1050		1384		15897		1.15353
-35		1586		16156		1.16004
1391		1292		16168		1.16666
-54		1378		-61		1.1728
-16		-83		-85		1.17929
-92		1295		16500		1.18578
-102		-64		-37		1.19215
-115		1541		16700		1.19861
1319		-93		-51		1.20507
1060		1333		-79		1.21139
-60		-29		16752		1.21787
1090		-86		16240		1.2245
-68		1384		-14		1.23107
1076		-9		-123		1.23721
834		1626		16679		1.24359
-46		1290		-104		1.24999
1036		-115		16924		1.25621
-92		1283		-88		1.26253
-62		1280		16730		1.26891
1128		-104		-17		1.27555
-24		1567		-3		1.28202
1078		1398		-112		1.28855
1099		-53		-86		1.29484
-46		1349		-45		1.30096
1114		1547		-99		1.30734
-56		-126		-56		1.31383
780		1349		-109		1.32023
1080		-88		-15		1.32668
-6		-46		17234		1.33302
-82		1554		-44		1.33926
597		1299		16764		1.34579
-89		-22		15990		1.35237
1134		1389		16467		1.37503
-105		1395		16719		1.38143
770		-22		-94		1.38765
1642		-21		15932		1.39392
1035		1588		15974		1.40038
1132		-6		-65		1.40688
1292		-70		16731		1.41664
1112		1336		-56		1.42297
792		1284		16431		1.42929
796		-102		-111		1.43558
-7		1659		16136		1.44187
-121		1391		-115		1.44819
1142		-1		16986		1.45469
-58		-45		-31		1.46118
-25		-62		-1		1.46752
568		1126		-48		1.47376
-97		-109		-8		1.47992
-89		1394		16434		1.4863
839		-13		16193		1.49264
-61		-27		16719		1.49905
1134		-41		15447		1.50533
-19		2095		-116		1.51158
-22		1284		-20		1.51789
-35		-126		-121		1.52454
-121		-96		-19		1.53109
