 X		Y		Z		Time[us]
-4		2587		16438		-3.46469e-44
-33		1860		15877		0.00625993
42		-111		15885		0.0126209
-3		2152		-126		0.0189478
-6		-57		-115		0.0252767
-108		-95		15160		0.0343606
-14		-95		14093		0.0423905
118		-52		-40		0.0487555
-25		2679		14109		0.0563174
107		-4		-120		0.0627343
-82		-9		-30		0.0692142
-75		876		-48		0.0836141
-96		-19		-40		0.089933
342		-113		16755		0.101472
-4		2163		-108		0.115051
1120		-68		-60		0.121482
1332		1070		-44		0.127929
-120		2368		-96		0.134403
-93		-72		16758		0.140864
-113		-36		-111		0.147366
-104		1886		16659		0.15402
-40		1835		17963		0.160908
-25		1917		16722		0.167325
620		1095		-70		0.173555
-104		836		-107		0.179876
-52		-56		-105		0.186302
816		-37		17234		0.192813
-67		1139		-96		0.199299
-16		-105		18474		0.205654
820		-67		-26		0.211953
826		-4		16949		0.218343
-57		-89		17165		0.225012
-112		3334		17013		0.231356
1087		-56		16717		0.237525
1099		-97		16492		0.243816
626		2144		-33		0.250254
624		2609		-97		0.256659
1064		2127		17718		0.263108
-62		2142		17431		0.269711
-58		-117		17179		0.276335
-56		-17		-26		0.282641
-48		-31		16726		0.289096
853		-78		-16		0.295505
-92		-82		16139		0.302015
-81		-13		-10		0.308114
843		-73		16700		0.314379
1119		-69		15892		0.320739
-77		-21		17529		0.327238
1583		-62		-60		0.333746
1059		1844		-124		0.340417
1134		1389		-37		0.346663
-49		-17		17203		0.353155
884		-70		-108		0.359574
770		1650		17238		0.365975
-33		1834		16922		0.372237
-50		-102		15948		0.378494
1383		2320		-111		0.385018
782		2058		16151		0.39132
595		-4		15455		0.397713
614		-21		-55		0.404148
312		-28		-40		0.410467
-107		-110		13433		0.41689
593		2086		-121		0.423323
540		-89		-127		0.42977
584		1906		-12		0.435914
867		2347		-105		0.442185
1146		-101		-115		0.448608
-29		-100		15872		0.455035
-122		1336		-47		0.46137
627		-79		-9		0.46791
-3		-111		17730		0.474414
1076		-47		19272		0.48092
1302		-20		-30		0.487477
-41		-11		18794		0.494086
-5		-730		21087		0.500196
-34		97		-108		0.506411
-28		62		-60		0.512792
-58		-77		19291		0.519214
-9		2115		17704		0.525623
-13		-3		-116		0.532099
-22		-3		17963		0.538424
839		-124		-40		0.544657
584		2383		-126		0.551055
-65		2360		17273		0.557521
-46		-95		17279		0.56892
-77		3400		-125		0.584794
9		-96		16474		0.591461
258		-72		-33		0.597779
-25		3656		-92		0.603992
49		3846		14380		0.610503
-165		3095		-92		0.617111
117		-62		-62		0.639902
-106		-56		-16		0.64639
-116		3079		-82		0.652717
1317		3427		16241		0.659097
-67		-43		-72		0.665704
1034		-95		15133		0.672394
-108		-67		-21		0.678724
1578		2616		14442		0.684786
-62		2924		13931		0.69124
1890		3074		14929		0.697506
1038		-49		-65		0.703836
-8		-115		14170		0.710243
-116		-115		-24		0.716649
-51		1804		16492		0.722971
1030		1074		17412		0.729454
780		1370		16953		0.735883
-74		375		-91		0.742299
1587		1576		17707		0.748536
-29		1319		-4		0.7549
-21		1613		-76		0.761301
-65		849		19049		0.767643
1144		-79		-83		0.774097
-86		-56		17995		0.780567
333		-152		-7		0.78698
257		-176		19263		0.793332
-43		834		-111		0.799783
887		-56		-31		0.806156
-143		-42		-76		0.812219
383		-126		-112		0.818577
776		-102		-36		0.824915
-85		1284		-42		0.831477
1056		1302		-64		0.837918
371		1139		-119		0.84421
109		2164		-92		0.850556
-117		-9		16697		0.856993
799		-42		-21		0.863465
-69		-38		-27		0.878393
610		-108		13400		0.884653
-82		-90		-40		0.890911
1282		-64		-84		0.89731
-56		-116		-111		0.903801
259		-74		-113		0.910034
-131		2867		-91		0.916385
-101		-52		14703		0.922799
-1		-28		-65		0.929312
-106		-12		16904		0.936589
-30		-116		-67		0.943353
864		-104		14914		0.949795
1040		-44		-12		0.960187
1397		-112		16459		0.966518
-20		1892		-36		0.972892
1146		2399		16236		0.979344
513		-8		-76		0.985716
-31		-105		16196		0.99261
-92		1602		16896		0.998831
603		1119		15144		1.00517
122		2069		16450		1.01163
-100		2155		17701		1.01804
-17		2915		14888		1.03956
863		-124		-28		1.04604
-52		2635		16758		1.05257
-4		1875		-116		1.05879
-7		-88		-121		1.06524
592		1568		17253		1.07178
-73		-74		17276		1.07849
1082		1903		18037		1.10341
1040		-58		-51		1.10975
1406		1916		19020		1.11629
1560		-1		18813		1.12279
1290		2107		18951		1.12936
-83		1539		-128		1.13548
879		-67		18282		1.14176
773		1839		17979		1.14817
-101		2890		-103		1.15448
1378		-20		16671		1.16083
-101		2655		-119		1.16733
-10		-65		17188		1.17367
1118		3419		18203		1.18042
1539		-64		-65		1.18688
-101		-21		17725		1.19346
-92		-42		-44		1.19987
374		1911		-8		1.20619
-121		-97		-6		1.21236
312		-128		-24		1.21877
1324		2852		-44		1.22519
1630		-82		-17		1.2315
1558		3393		17410		1.23781
-88		3959		15116		1.24417
-52		4712		15417		1.25063
-52		-109		13828		1.25714
1539		-67		-33		1.26361
-60		3455		13155		1.26974
354		-28		-14		1.276
-244		-124		14201		1.28236
90		1850		14666		1.28869
-114		-89		15713		1.29513
-11		-126		-92		1.30152
860		-25		-95		1.3077
-58		1607		16148		1.314
-62		2939		-37		1.32054
328		2353		-51		1.32703
1058		1554		-60		1.34951
-92		272		15900		1.356
-22		771		-15		1.36218
346		1132		-51		1.36843
-29		-50		15636		1.37502
-62		2599		13613		1.38157
840		-3		-118		1.40267
-11		2880		16909		1.40916
-66		3186		-33		1.41543
-105		2864		16176		1.42186
316		3172		15121		1.42849
314		2091		17220		1.43481
-20		-80		18476		1.46059
1393		-109		-9		1.46698
-128		-48		-16		1.47359
1659		-33		17973		1.48028
1109		2631		17171		1.49093
-96		-99		18693		1.49725
-88		1595		18989		1.50368
-88		1302		19299		1.50997
1025		-124		-35		1.51627
1284		-79		-120		1.52256
-91		-82		-48		1.52895
-115		-9		-46		1.53546
-13		-90		17276		1.54218
-8		3632		17696		1.5483
-42		3149		-58		1.55447
-44		-64		16233		1.56084
-54		-65		18007		1.56736
1544		2150		17275		1.57376
1357		-120		17444		1.58014
-122		1655		-104		1.5863
579		2075		-112		1.59287
890		-120		-108		1.59945
579		3127		17711		1.60604
563		-46		17756		1.61215
-93		3591		16439		1.61844
531		2675		-4		1.62475
-44		-8		16250		1.63121
-50		1834		-92		1.63753
-6		1820		15920		1.64397
1403		1643		-95		1.65017
-112		-61		18012		1.65648
1280		1892		15709		1.66301
1142		3087		15416		1.66947
-109		-104		14875		1.67593
615		-102		15980		1.70211
-93		-122		-106		1.70849
-108		1636		15900		1.71481
-54		1132		-37		1.72152
1124		1567		-91		1.74682
598		-93		-73		1.75327
-40		-26		-17		1.75956
355		-1		17517		1.76606
-86		-58		16439		1.77266
1042		1858		-1		1.78133
-24		1834		-16		1.78777
332		-40		16463		1.79427
-69		2392		-35		1.80056
-30		-64		-107		1.80684
583		-48		15952		1.81324
568		2818		-32		1.81968
-77		-58		-73		1.82616
290		2391		-79		1.83274
1038		2175		-118		1.83905
1082		-13		-92		1.84518
-104		-99		16230		1.85161
1031		1623		17247		1.85789
1312		-44		-92		1.86426
1630		2079		15708		1.87054
815		1916		18195		1.87708
513		-45		16900		1.88348
-70		-46		16439		1.88994
1379		-85		15979		1.89653
-29		1656		-40		1.90311
-122		2359		14866		1.90937
-63		-121		15876		1.91569
-100		-80		14866		1.92222
-101		-118		13672		1.92861
636		2817		-20		1.93493
602		1844		12880		1.94133
-236		-70		-19		1.94745
-240		-25		-45		1.95394
-407		-69		-30		1.96031
306		-42		-115		1.9666
-110		-49		16716		1.99102
1548		-42		17780		1.99738
1546		33		-30		2.00353
-10		359		-93		2.00987
-105		1078		-52		2.01632
-82		1345		17935		2.02629
773		33		-69		2.03268
-27		-118		17209		2.03909
-46		-41		18303		2.04566
-43		2337		-59		2.05226
1110		2389		-111		2.05875
-125		-25		20332		2.06498
828		-35		21777		2.07141
886		3373		19319		2.07795
540		2109		20309		2.0847
1858		2586		19829		2.09078
-96		2411		19021		2.09688
1099		-7		-82		2.10335
1056		-47		18196		2.11012
-101		-95		-104		2.11662
-42		3636		20322		2.12284
1309		2675		-68		2.12922
1613		4354		19581		2.13564
1810		-105		20772		2.14212
1655		-73		16128		2.1488
-4		-117		15399		2.17082
-97		-11		15964		2.17727
-89		-64		-17		2.18361
-83		-61		18508		2.18999
1877		-16		-95		2.19653
1118		-7		15435		2.2031
-59		-24		14192		2.21104
-28		3354		14088		2.21748
1648		3127		12135		2.22381
-104		2846		13877		2.23017
-8		-105		13649		2.23651
1820		1879		-104		2.24287
1826		-12		12824		2.24909
-32		-13		-116		2.25574
-96		558		12615		2.26234
1613		-88		14969		2.27377
-53		571		-31		2.28012
-104		-56		-46		2.28691
1085		-93		15634		2.29339
1824		-77		-8		2.29979
3		-711		18188		2.30634
-108		618		-89		2.31276
-68		-70		-113		2.31973
1323		587		18029		2.32624
-40		-6		-63		2.33243
-30		-21		17457		2.33868
312		2347		17725		2.34589
591		-82		17786		2.35233
1051		-99		16224		2.35875
342		3615		-86		2.37669
515		-100		16746		2.38296
1109		2321		-104		2.38935
1027		-91		-77		2.39574
-63		2321		-36		2.40212
-24		2160		16414		2.40868
559		-109		18257		2.41521
-100		-40		-49		2.42152
-72		2673		16691		2.42786
-28		2096		-15		2.43757
-27		2609		-79		2.44421
2111		2656		-49		2.45203
-1		2844		16215		2.45851
-51		-12		-10		2.4647
1615		2926		17185		2.47099
-48		-112		-70		2.47744
1366		2604		16390		2.48545
770		3341		16492		2.50691
-74		2848		-101		2.51372
-96		3397		-110		2.5203
-102		2679		-27		2.52655
-50		-22		-120		2.53299
1091		-72		16924		2.53949
1590		-111		17443		2.54583
-3		1576		-38		2.5563
810		-34		-1		2.56278
1630		2116		17451		2.56902
1592		2059		17189		2.57554
-124		-100		16478		2.58189
-79		-111		-89		2.58823
1602		-115		-107		2.59443
-32		2375		-105		2.60103
-13		-18		-37		2.60774
807		-94		-113		2.61737
376		-92		-41		2.62379
-17		2307		16236		2.63016
566		1663		-9		2.63666
1138		2349		-53		2.64301
-34		2847		-37		2.64927
-15		-25		20082		2.6555
1587		2148		-52		2.66187
