 X		Y		Z		Time[us]
-75		-123		-6		-4.27044e-44
568		-13		-60		0.00609815
-4		-72		17508		0.0124173
538		548		16977		0.0186935
-41		351		16387		0.0252076
623		-42		17236		0.0342298
-70		535		-29		0.0450761
-121		365		-71		0.0514653
890		514		16503		0.0581584
798		367		-77		0.0649266
787		556		16423		0.0714518
570		383		-75		0.0872041
-96		268		16944		0.0935063
-32		517		-1		0.103981
-24		259		-3		0.110397
-8		626		15647		0.117054
818		539		16669		0.123462
-93		-121		-112		0.129812
769		517		-70		0.136283
1134		296		16898		0.142839
-52		-52		17011		0.149275
-85		332		17209		0.15574
769		-59		16707		0.162478
343		618		16759		0.16928
-111		-69		-3		0.175631
-89		-128		17263		0.181749
783		542		17205		0.187969
-65		278		17002		0.194331
-120		588		-31		0.200711
878		-9		-38		0.207246
883		615		16982		0.213738
1042		-85		-125		0.220173
-125		-29		-10		0.226629
-77		-69		16168		0.23289
592		-5		15682		0.239403
-36		-12		-99		0.245818
-40		358		-1		0.252101
-63		555		15632		0.258304
-25		528		17732		0.264769
622		288		15925		0.271169
-125		378		-56		0.27758
542		-18		-68		0.28402
580		331		17423		0.290497
-21		-74		-18		0.296832
867		-94		-59		0.30331
858		551		-99		0.309934
872		-38		-109		0.316542
534		-59		16202		0.32264
635		-70		-50		0.329089
576		-58		16146		0.335416
556		324		-84		0.341726
-1		518		16499		0.348224
-108		-125		-115		0.354736
-120		-13		16447		0.361209
514		375		-3		0.367646
-29		302		16896		0.374267
782		-41		16707		0.380682
827		-91		-78		0.386818
-128		579		-73		0.393149
623		349		16440		0.399612
892		353		16734		0.406097
-1		620		-16		0.412575
-3		291		17476		0.419146
-49		-90		15884		0.425576
-85		-33		16688		0.432128
-29		-68		16728		0.438729
-86		631		16128		0.445062
-126		634		16936		0.451162
-84		350		16898		0.457556
848		351		-22		0.463991
626		-57		-47		0.470448
-20		-42		-44		0.476825
866		-20		-43		0.483161
796		-81		15737		0.489408
800		337		16911		0.49601
803		271		-46		0.502775
-115		539		-96		0.513964
-9		-29		16194		0.520261
-10		550		15653		0.526677
357		592		16949		0.533068
1111		363		-15		0.53942
-72		288		-113		0.545855
1030		-22		16205		0.552045
-61		-121		-47		0.558663
-115		-50		-101		0.565393
831		-79		-39		0.573115
-73		-13		16653		0.579788
-50		-110		17211		0.585877
-33		295		-63		0.592188
771		-83		-19		0.598511
600		-88		16144		0.604933
602		-77		-29		0.611282
589		-95		-1		0.617871
807		-107		16927		0.624386
831		571		17444		0.6309
550		365		-65		0.637474
831		-1		-112		0.652778
-30		-98		17269		0.668546
887		282		-113		0.674801
870		333		-8		0.681128
867		-93		16941		0.687767
-9		-97		-126		0.69434
-128		-117		-15		0.715883
564		316		-116		0.722521
-12		373		16412		0.728966
1046		1		17258		0.735259
-32		580		-60		0.741803
558		319		-91		0.74858
1091		-102		-20		0.754907
-89		-42		-48		0.761132
776		564		-123		0.767567
-56		-90		-124		0.773928
811		-69		16933		0.780376
893		271		16943		0.786715
560		-54		-19		0.793172
-10		279		-112		0.799692
-14		-8		16652		0.806467
792		558		-83		0.81309
-111		612		16746		0.819341
-19		-36		-40		0.825499
588		258		-67		0.831812
858		283		-11		0.838072
-104		-83		15992		0.844495
1123		573		15665		0.85088
-113		538		-72		0.857281
-83		362		-25		0.863661
-40		-34		-91		0.870267
1100		535		16973		0.876805
-122		357		16145		0.882915
1098		540		16145		0.889065
778		353		-112		0.895486
-108		628		-76		0.902058
-76		278		-10		0.908397
-108		274		-89		0.914721
1098		527		16469		0.921135
840		299		-35		0.927544
1051		518		17009		0.934136
876		-9		16648		0.940854
-9		536		-67		0.947121
796		-41		-27		0.953228
-56		-13		-52		0.959525
-127		335		15925		0.965837
-116		-116		-33		0.97225
-73		526		-31		0.978566
872		275		-78		0.98504
-120		-69		16391		0.991329
620		-104		-100		0.997898
1088		367		-125		1.00473
-45		776		16764		1.01523
-70		848		-56		1.02179
-109		513		-111		1.02845
544		257		-80		1.035
-93		519		-108		1.04143
618		374		-96		1.04787
779		370		17668		1.05422
523		284		-81		1.06065
-86		-106		-110		1.06726
-116		363		-1		1.07364
-57		-26		17415		1.09665
610		-43		-53		1.10324
-43		-45		17260		1.10951
382		-123		-127		1.11603
792		360		-62		1.12259
