 X		Y		Z		Time[us]
-48		1297		-23		-4.32299e-44
-58		1322		15932		0.0125834
-69		-38		15697		0.019008
-82		1320		-75		0.0295245
-43		1390		15915		0.0358852
575		1123		-19		0.0423989
-88		-92		-48		0.0488295
614		1066		15968		0.0583671
623		1374		-90		0.0646208
-89		-79		-55		0.0708484
560		1390		-43		0.0833328
-48		1143		17227		0.0897605
-100		-117		-92		0.0961332
-110		-111		-40		0.102534
-3		-53		16424		0.108939
-5		1398		-103		0.125157
582		1355		17461		0.131313
533		-8		-123		0.137663
-32		-52		-4		0.145783
527		1124		-113		0.152171
-57		1362		-61		0.158439
319		-81		16418		0.165017
-77		1316		-120		0.171295
328		-11		16162		0.1778
518		1303		-102		0.184228
595		-8		16663		0.190482
357		-27		-32		0.196946
564		-44		16507		0.203731
-77		1304		-78		0.209968
312		-30		-80		0.216112
789		1309		-128		0.222478
-5		1398		-39		0.228937
-40		-125		-35		0.235186
-52		1381		16716		0.241553
-61		-36		-81		0.247938
627		-109		16993		0.254399
531		-124		-37		0.260648
304		-113		16209		0.267104
-114		-84		-110		0.273784
266		-75		-44		0.279936
800		-81		-55		0.286016
122		-120		-68		0.292445
-88		1317		16210		0.298812
-72		1128		15444		0.305227
-3		1110		-42		0.311564
-12		1337		-44		0.318019
-70		1355		16656		0.324614
589		-104		-107		0.331037
796		-124		16396		0.337504
-48		892		-28		0.343699
603		1136		-60		0.349894
536		-37		-9		0.356531
371		1595		16498		0.362906
-20		1335		16955		0.369262
580		-111		16470		0.37555
-112		-65		-47		0.381864
-22		-51		-8		0.388308
333		1304		-121		0.394817
554		1312		16391		0.401247
-102		1283		-77		0.40742
-77		-22		-17		0.413696
-69		-125		15990		0.420069
-3		-7		-3		0.426495
-122		-74		-62		0.433096
-57		-5		-114		0.439423
-127		-37		17418		0.445669
298		-36		-100		0.452114
-29		1323		15917		0.458652
-38		-120		-86		0.465051
-104		-109		16434		0.475346
-123		1303		15996		0.481821
126		1395		16403		0.488312
-78		1282		-112		0.495588
-72		1302		16387		0.502178
336		1370		15964		0.508679
573		-12		16503		0.514869
-85		1111		16233		0.520917
76		-88		16913		0.527225
-20		1333		16965		0.538234
-57		1379		17019		0.544765
-16		-89		16973		0.551126
-37		1120		-51		0.557567
-36		-91		17004		0.564264
572		1347		16439		0.570723
274		1343		-81		0.576969
331		-111		-86		0.583492
-59		-38		-4		0.590221
548		1328		16685		0.604496
-43		-94		16464		0.610802
-73		-57		16721		0.617188
-93		1066		16964		0.623751
517		1151		15897		0.630154
-94		-25		15884		0.63642
350		1397		16919		0.642681
567		1135		16736		0.649192
-61		1312		16426		0.655605
593		-1		16506		0.66344
814		-64		-26		0.669684
-73		-123		-70		0.676053
556		-81		-48		0.686321
567		-54		15640		0.692627
-78		1309		-85		0.699028
-42		1062		16750		0.705335
-72		1317		16929		0.711762
531		1080		-9		0.71807
-118		-85		-42		0.724428
-30		1292		-115		0.731071
363		-52		16210		0.737422
-56		-5		-76		0.760966
306		1384		-89		0.767405
-122		1147		16928		0.773782
308		1144		17231		0.780013
-6		-8		-65		0.786436
798		1136		-84		0.793159
-126		-78		16704		0.802777
536		-84		16965		0.809142
-53		-8		16742		0.815715
341		1104		16245		0.82209
-56		1377		-61		0.828413
619		1341		-6		0.83489
360		1283		-115		0.841276
543		-86		15880		0.847731
623		-37		-36		0.854172
-12		1292		16924		0.863542
-72		-102		16726		0.869863
-37		1095		-58		0.87626
555		1098		16486		0.882703
827		-93		16679		0.889143
-94		1072		15915		0.89556
-1		-112		16933		0.901706
517		-56		-11		0.908107
-32		-15		16159		0.914797
365		-36		-122		0.930166
-107		-49		-105		0.946082
-49		1308		16904		0.95257
626		-62		16399		0.958976
599		-128		15881		0.965591
274		1351		-125		0.97204
-66		1062		16669		0.99497
-68		1335		-80		1.00153
-17		1052		16225		1.00794
-121		-25		-42		1.01429
-70		1323		16922		1.02072
-28		-47		-115		1.02719
566		-8		15731		1.03338
630		-7		-101		1.03962
524		-62		-54		1.04604
-112		-104		-38		1.05265
-29		1373		-67		1.05905
-118		1370		-60		1.06551
-102		-81		-6		1.07187
-81		1362		-31		1.07831
345		1144		16194		1.08466
-33		-27		-52		1.09126
849		1144		-20		1.09734
62		1394		16192		1.10358
-34		1072		16470		1.11012
103		-32		16750		1.11644
-43		-105		16129		1.12292
49		-12		-47		1.1293
-37		-8		16936		1.1357
583		-9		-106		1.14201
-28		1328		-106		1.1485
614		-4		16732		1.15513
-66		-92		-3		1.16122
533		1344		15876		1.16736
-125		1306		17220		1.17384
-85		1313		16212		1.1803
371		1403		15919		1.18668
-5		-42		-40		1.19308
-117		-4		-70		1.1996
-98		1323		-123		1.20597
-40		1051		16191		1.21241
328		-42		16928		1.21887
523		1302		-67		1.22504
-43		1284		-42		1.23134
-110		-37		-89		1.23763
-70		1296		16255		1.24431
282		1138		15467		1.25066
-98		-60		-63		1.25704
290		1100		-34		1.26337
104		1398		17209		1.2695
-38		-5		-55		1.27625
558		-99		-27		1.28287
333		1299		-76		1.30828
831		1088		16398		1.31459
1076		-42		16669		1.321
-26		811		16149		1.32736
-12		-63		16410		1.33366
597		-118		16252		1.35998
-85		-102		-28		1.36635
369		1138		-72		1.37276
-92		1306		16667		1.37959
-66		-13		16418		1.39085
546		1331		16452		1.39718
-74		1071		16687		1.40364
-117		-5		-99		1.4099
-22		-7		-73		1.41618
363		1343		16935		1.42261
600		-9		15887		1.42889
-40		1290		-69		1.43536
-112		-47		16439		1.44202
584		-126		15672		1.44814
373		1134		16217		1.45441
-1		-72		15917		1.46073
566		1284		-79		1.46712
317		-36		16502		1.47349
815		-68		-46		1.47987
-124		1603		16755		1.4861
606		1352		16764		1.49245
-62		-121		16432		1.49926
-3		-44		-24		1.50557
-122		-12		16746		1.51169
-128		-116		15981		1.51802
523		1047		16385		1.52437
624		1567		15679		1.53062
341		1076		-40		1.53693
-20		-13		-110		1.54339
-128		-111		-46		1.54951
619		1067		16235		1.55601
291		1395		-58		1.56287
382		-61		-4		1.58992
369		1395		16700		1.59641
576		1319		16912		1.6028
513		-12		16919		1.60933
-36		1027		16450		1.61565
350		-34		-122		1.62365
-85		-24		-56		1.62996
-29		-81		-19		1.63639
-111		-116		-38		1.64298
1804		1407		16470		1.64927
-68		1371		-32		1.65557
-29		-13		15670		1.66212
1034		1143		-118		1.66867
770		-25		-64		1.67538
-121		-47		16459		1.6817
-21		864		16967		1.68797
365		798		16450		1.69445
-64		-93		-95		1.70085
1286		-13		-86		1.70725
1583		1360		15459		1.71363
